,Position,Fa13.BD.MM110.SD.MAG9-A,Fa13.BD.MM110.SD.MAG9-C,Fa13.BD.MM110.SD.MAG9-G,Fa13.BD.MM110.SD.MAG9-T,Sp13.BD.MM110.SD.MAG9-A,Sp13.BD.MM110.SD.MAG9-C,Sp13.BD.MM110.SD.MAG9-G,Sp13.BD.MM110.SD.MAG9-T,Sp13.BD.MM15.SN.MAG9-A,Sp13.BD.MM15.SN.MAG9-C,Sp13.BD.MM15.SN.MAG9-G,Sp13.BD.MM15.SN.MAG9-T,Su13.BD.MLB.DD.MAG9-A,Su13.BD.MLB.DD.MAG9-C,Su13.BD.MLB.DD.MAG9-G,Su13.BD.MLB.DD.MAG9-T,Sp13.BD.MM15.DD.A.MAG9-A,Sp13.BD.MM15.DD.A.MAG9-C,Sp13.BD.MM15.DD.A.MAG9-G,Sp13.BD.MM15.DD.A.MAG9-T,Sp13.BD.MM110.SN.MAG9-A,Sp13.BD.MM110.SN.MAG9-C,Sp13.BD.MM110.SN.MAG9-G,Sp13.BD.MM110.SN.MAG9-T,Fa13.BD.MM15.DN.MAG9-A,Fa13.BD.MM15.DN.MAG9-C,Fa13.BD.MM15.DN.MAG9-G,Fa13.BD.MM15.DN.MAG9-T,Sp13.BD.MM110.DD.MAG9-A,Sp13.BD.MM110.DD.MAG9-C,Sp13.BD.MM110.DD.MAG9-G,Sp13.BD.MM110.DD.MAG9-T,Su13.BD.MM110.DCMD.MAG9-A,Su13.BD.MM110.DCMD.MAG9-C,Su13.BD.MM110.DCMD.MAG9-G,Su13.BD.MM110.DCMD.MAG9-T,Su13.BD.MLB.SD.C.MAG9-A,Su13.BD.MLB.SD.C.MAG9-C,Su13.BD.MLB.SD.C.MAG9-G,Su13.BD.MLB.SD.C.MAG9-T,Su13.BD.MM110.SD.MAG9-A,Su13.BD.MM110.SD.MAG9-C,Su13.BD.MM110.SD.MAG9-G,Su13.BD.MM110.SD.MAG9-T,Sp13.BD.MM15.SD.MAG9-A,Sp13.BD.MM15.SD.MAG9-C,Sp13.BD.MM15.SD.MAG9-G,Sp13.BD.MM15.SD.MAG9-T,Sp13.BD.MLB.SN.MAG9-A,Sp13.BD.MLB.SN.MAG9-C,Sp13.BD.MLB.SN.MAG9-G,Sp13.BD.MLB.SN.MAG9-T,Fa13.BD.MM15.SN.MAG9-A,Fa13.BD.MM15.SN.MAG9-C,Fa13.BD.MM15.SN.MAG9-G,Fa13.BD.MM15.SN.MAG9-T,Fa13.BD.MLB.DN.MAG9-A,Fa13.BD.MLB.DN.MAG9-C,Fa13.BD.MLB.DN.MAG9-G,Fa13.BD.MLB.DN.MAG9-T,Su13.BD.MM15.SN.C.MAG9-A,Su13.BD.MM15.SN.C.MAG9-C,Su13.BD.MM15.SN.C.MAG9-G,Su13.BD.MM15.SN.C.MAG9-T,Fa13.BD.MM15.SD.MAG9-A,Fa13.BD.MM15.SD.MAG9-C,Fa13.BD.MM15.SD.MAG9-G,Fa13.BD.MM15.SD.MAG9-T,Su13.BD.MM15.DN.MAG9-A,Su13.BD.MM15.DN.MAG9-C,Su13.BD.MM15.DN.MAG9-G,Su13.BD.MM15.DN.MAG9-T,Fa13.BD.MLB.SN.MAG9-A,Fa13.BD.MLB.SN.MAG9-C,Fa13.BD.MLB.SN.MAG9-G,Fa13.BD.MLB.SN.MAG9-T,Su13.BD.MM110.SN.C.MAG9-A,Su13.BD.MM110.SN.C.MAG9-C,Su13.BD.MM110.SN.C.MAG9-G,Su13.BD.MM110.SN.C.MAG9-T,Fa13.BD.MM110.DN.MAG9-A,Fa13.BD.MM110.DN.MAG9-C,Fa13.BD.MM110.DN.MAG9-G,Fa13.BD.MM110.DN.MAG9-T,Fa13.BD.MM110.SN.MAG9-A,Fa13.BD.MM110.SN.MAG9-C,Fa13.BD.MM110.SN.MAG9-G,Fa13.BD.MM110.SN.MAG9-T,Su13.BD.MM15.SD.MAG9-A,Su13.BD.MM15.SD.MAG9-C,Su13.BD.MM15.SD.MAG9-G,Su13.BD.MM15.SD.MAG9-T
contig_21633_8,10,0,0,6,0,0,0,16,0,0,0,25,0,0,0,5,0,0,0,12,0,0,0,9,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,47,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0
contig_21633_8,11,0,6,0,0,0,16,0,0,0,25,0,0,0,5,0,0,0,12,0,0,0,9,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,47,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,12,0,6,0,0,0,15,0,1,0,26,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,13,0,0,0,47,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,1,8,0,2,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,13,1,5,0,0,0,16,0,0,0,27,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,26,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,48,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,14,0,0,0,6,0,0,0,16,0,0,0,26,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,47,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,6,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9
contig_21633_8,15,0,6,0,0,0,0,13,2,0,0,21,5,0,0,5,0,0,0,11,1,0,0,8,0,0,0,4,0,0,0,21,6,0,0,0,0,0,0,8,0,0,1,2,0,0,0,14,0,0,4,16,26,0,0,3,0,0,0,2,1,0,0,23,0,0,1,3,0,0,0,5,0,0,0,10,1,0,0,6,0,0,0,0,0,0,2,0,0,0,0,9,0
contig_21633_8,16,6,0,0,0,15,0,0,0,27,0,0,0,4,0,0,1,12,0,0,0,8,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,5,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,17,0,6,0,0,0,15,0,0,0,26,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,27,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,14,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,4,0,0,0,5,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,18,0,6,0,0,0,15,0,0,0,26,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,26,0,1,0,0,0,0,0,9,0,0,0,3,0,0,0,16,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,23,0,0,0,2,0,2,0,4,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,19,0,0,6,0,0,0,15,0,0,0,27,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,16,0,0,0,46,0,0,0,3,0,0,0,3,0,0,1,23,0,0,0,4,0,0,0,4,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0
contig_21633_8,20,6,0,0,0,15,0,0,0,27,0,0,0,5,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,15,0,0,0,47,0,0,0,3,0,0,0,3,0,0,0,24,0,0,0,4,0,0,0,4,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,21,0,6,0,0,0,15,0,0,0,25,0,1,0,5,0,0,0,12,0,0,0,7,0,0,0,4,0,0,1,24,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,15,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,24,0,0,2,2,0,0,0,4,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,22,6,0,0,0,15,0,0,0,26,0,0,0,5,0,0,0,12,0,0,0,7,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,15,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,24,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,23,6,0,0,0,14,0,0,0,26,0,0,0,5,0,0,0,13,0,0,0,7,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,16,0,0,0,46,0,0,0,3,0,0,0,3,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,24,6,0,0,0,14,0,0,0,25,1,0,0,5,0,0,0,12,0,1,0,6,0,0,1,4,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,0,0,0,48,0,0,0,4,0,0,0,3,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0
contig_21633_8,25,0,6,0,0,0,14,0,0,0,27,0,0,0,5,0,0,0,12,0,0,0,7,0,0,0,4,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,0,0,0,49,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,26,0,0,0,6,0,0,0,14,0,0,0,27,0,0,0,4,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,15,0,0,0,49,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,9
contig_21633_8,27,0,6,0,0,0,9,0,5,0,15,0,12,1,3,0,0,0,10,0,2,0,6,0,2,0,4,0,0,0,23,0,2,0,0,0,0,0,9,0,2,0,3,0,0,0,11,0,4,2,40,0,7,0,4,0,0,1,1,0,0,0,17,0,3,0,4,0,0,0,3,0,0,0,6,0,5,0,7,0,0,0,0,0,0,0,2,0,0,0,9,0,0
contig_21633_8,28,0,0,0,6,0,0,0,14,0,0,0,27,0,0,0,4,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,25,0,0,0,0,4,0,0,7,0,0,0,3,0,1,0,15,0,0,0,49,2,0,0,2,0,0,0,2,0,0,0,21,0,0,0,4,0,0,0,3,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,2,0,1,0,9
contig_21633_8,29,0,6,0,0,0,13,0,0,0,27,0,0,0,4,0,0,0,12,0,0,0,8,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,0,0,0,52,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,11,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,10,0,0
contig_21633_8,30,0,1,0,0,11,0,2,0,11,5,11,0,0,2,2,0,6,1,5,0,7,0,1,0,3,0,0,0,12,0,12,0,0,0,0,0,3,1,7,0,2,0,0,0,11,2,2,1,5,2,44,0,2,0,2,0,1,0,1,0,19,1,0,0,1,1,0,0,3,0,0,0,3,1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
contig_21633_8,31,0,1,0,0,0,14,0,0,0,27,0,0,0,4,0,0,0,12,0,0,0,8,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,2,0,0,0,3,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0
contig_21633_8,32,0,0,1,0,0,0,14,0,0,0,28,0,0,0,4,0,0,0,12,0,0,0,8,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,2,0,0,0,3,0,0,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0
contig_21633_8,33,0,1,0,0,0,15,0,0,0,28,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,16,1,0,1,50,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,2,0,0,0,3,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0
contig_21633_8,34,1,0,0,0,0,14,0,0,0,27,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,20,0,0,1,1,0,0,0,3,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0
contig_21633_8,35,0,0,0,1,0,0,0,16,0,0,0,26,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,2,0,0,0,3,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8
contig_21633_8,36,0,1,0,0,0,16,0,0,0,25,0,0,0,2,1,0,0,14,0,0,0,8,0,0,0,3,0,0,0,24,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,17,0,0,0,50,1,0,0,4,0,0,0,2,0,0,0,20,0,0,0,2,0,0,0,3,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,9,0,0
contig_21633_8,37,0,0,1,0,0,1,16,0,0,0,25,0,0,0,3,0,0,0,14,0,0,0,8,0,0,0,3,0,0,1,22,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,20,0,0,0,3,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0
contig_21633_8,38,0,0,0,1,0,0,0,16,0,0,0,25,0,0,0,3,1,0,0,12,0,0,0,8,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,19,0,0,0,3,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9
contig_21633_8,39,0,1,0,0,0,16,0,0,0,24,0,1,0,3,0,0,0,12,0,1,0,8,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,0,1,0,49,0,1,0,4,0,0,0,2,0,0,0,19,0,0,0,3,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0,0
contig_21633_8,40,1,0,0,0,16,0,0,0,25,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,18,0,0,0,3,0,0,0,3,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
contig_21633_8,41,1,0,0,0,15,0,0,0,25,0,0,0,3,0,0,0,13,0,0,0,8,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,17,0,0,0,51,0,0,0,4,0,0,0,2,0,0,0,18,0,0,0,3,0,0,0,3,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
contig_21633_8,42,0,0,0,0,2,0,11,1,4,0,19,0,0,0,1,0,3,0,10,0,0,0,8,0,0,0,3,0,7,0,12,0,0,0,0,0,2,0,9,0,0,0,3,0,2,0,14,0,29,0,20,0,0,0,4,0,1,0,1,0,0,0,18,0,1,0,2,0,0,0,3,0,2,1,6,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0
contig_21633_8,43,0,0,0,0,12,2,0,0,16,7,0,0,1,0,0,0,9,4,0,0,8,0,0,0,3,0,0,0,12,8,0,0,0,0,0,0,11,0,0,0,3,0,0,0,14,2,0,0,16,34,0,0,4,0,0,0,1,1,0,0,18,0,0,0,2,0,1,0,3,0,0,0,7,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0
contig_21633_8,44,0,0,0,0,2,11,0,0,7,16,0,0,0,1,0,0,4,9,0,0,0,7,0,0,0,3,0,0,8,12,0,0,0,0,0,0,0,11,0,0,0,3,0,0,2,14,0,0,34,16,0,0,0,4,0,0,1,1,0,0,0,18,0,0,0,1,1,0,0,3,0,0,2,7,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,8,0,0
contig_21633_8,45,0,0,0,0,0,13,0,0,0,23,0,0,0,1,0,0,0,13,0,0,0,6,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,16,0,0,0,52,0,0,0,4,0,0,0,2,0,0,0,18,0,0,0,2,0,0,0,3,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,8,0,0
contig_21633_8,46,0,0,0,0,10,3,0,0,13,11,0,0,3,0,0,0,8,6,0,0,4,2,0,0,2,0,0,0,17,2,0,0,0,0,0,0,6,6,0,0,3,0,0,0,9,7,0,0,38,14,0,0,3,0,0,0,1,1,0,0,13,5,0,0,1,1,0,0,2,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0
contig_21633_8,47,0,0,0,0,0,0,0,13,0,0,0,24,0,0,0,3,0,0,0,15,0,0,0,6,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,16,0,0,0,51,0,0,0,3,0,0,0,2,0,0,0,18,0,0,0,2,0,0,0,2,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,7
contig_21633_8,48,0,0,0,0,0,13,0,0,0,24,0,0,0,3,0,0,0,15,0,0,0,5,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,15,0,0,0,49,2,0,0,3,0,0,0,2,0,0,0,18,0,0,0,1,1,0,0,2,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,7,0,0
contig_21633_8,49,0,0,0,0,12,0,0,0,24,0,0,0,2,0,0,0,15,0,0,0,5,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,14,0,0,0,49,2,0,0,3,0,0,0,2,0,0,0,18,0,0,0,1,1,0,0,2,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0
contig_21633_8,50,0,0,0,0,0,0,12,0,0,0,23,0,0,0,2,0,0,0,15,0,0,0,5,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,12,0,0,0,3,0,0,0,15,0,0,0,53,0,0,0,3,0,0,0,2,0,0,0,18,0,0,0,2,0,0,0,2,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,7,0
