,Position,Fa13.BD.MLB.SN.sorted.MAG8-A,Fa13.BD.MLB.SN.sorted.MAG8-C,Fa13.BD.MLB.SN.sorted.MAG8-G,Fa13.BD.MLB.SN.sorted.MAG8-T,Fa13.BD.MLB.DN.sorted.MAG8-A,Fa13.BD.MLB.DN.sorted.MAG8-C,Fa13.BD.MLB.DN.sorted.MAG8-G,Fa13.BD.MLB.DN.sorted.MAG8-T,Sp13.BD.MLB.SN.sorted.MAG8-A,Sp13.BD.MLB.SN.sorted.MAG8-C,Sp13.BD.MLB.SN.sorted.MAG8-G,Sp13.BD.MLB.SN.sorted.MAG8-T,Su13.BD.MM110.DCMD.sorted.MAG8-A,Su13.BD.MM110.DCMD.sorted.MAG8-C,Su13.BD.MM110.DCMD.sorted.MAG8-G,Su13.BD.MM110.DCMD.sorted.MAG8-T,Sp13.BD.MM110.SN.sorted.MAG8-A,Sp13.BD.MM110.SN.sorted.MAG8-C,Sp13.BD.MM110.SN.sorted.MAG8-G,Sp13.BD.MM110.SN.sorted.MAG8-T,Su13.BD.MLB.SD.C.sorted.MAG8-A,Su13.BD.MLB.SD.C.sorted.MAG8-C,Su13.BD.MLB.SD.C.sorted.MAG8-G,Su13.BD.MLB.SD.C.sorted.MAG8-T,Sp13.BD.MM15.SN.sorted.MAG8-A,Sp13.BD.MM15.SN.sorted.MAG8-C,Sp13.BD.MM15.SN.sorted.MAG8-G,Sp13.BD.MM15.SN.sorted.MAG8-T,Su13.BD.MLB.DD.sorted.MAG8-A,Su13.BD.MLB.DD.sorted.MAG8-C,Su13.BD.MLB.DD.sorted.MAG8-G,Su13.BD.MLB.DD.sorted.MAG8-T,Su13.BD.MM110.SN.C.sorted.MAG8-A,Su13.BD.MM110.SN.C.sorted.MAG8-C,Su13.BD.MM110.SN.C.sorted.MAG8-G,Su13.BD.MM110.SN.C.sorted.MAG8-T,Su13.BD.MM15.SN.C.sorted.MAG8-A,Su13.BD.MM15.SN.C.sorted.MAG8-C,Su13.BD.MM15.SN.C.sorted.MAG8-G,Su13.BD.MM15.SN.C.sorted.MAG8-T,Sp13.BD.MM15.SD.sorted.MAG8-A,Sp13.BD.MM15.SD.sorted.MAG8-C,Sp13.BD.MM15.SD.sorted.MAG8-G,Sp13.BD.MM15.SD.sorted.MAG8-T,Su13.BD.MM110.DN.sorted.MAG8-A,Su13.BD.MM110.DN.sorted.MAG8-C,Su13.BD.MM110.DN.sorted.MAG8-G,Su13.BD.MM110.DN.sorted.MAG8-T,Su13.BD.MM110.SD.sorted.MAG8-A,Su13.BD.MM110.SD.sorted.MAG8-C,Su13.BD.MM110.SD.sorted.MAG8-G,Su13.BD.MM110.SD.sorted.MAG8-T,Sp13.BD.MM110.SD.sorted.MAG8-A,Sp13.BD.MM110.SD.sorted.MAG8-C,Sp13.BD.MM110.SD.sorted.MAG8-G,Sp13.BD.MM110.SD.sorted.MAG8-T,Fa13.BD.MM15.DN.sorted.MAG8-A,Fa13.BD.MM15.DN.sorted.MAG8-C,Fa13.BD.MM15.DN.sorted.MAG8-G,Fa13.BD.MM15.DN.sorted.MAG8-T,Fa13.BD.MM15.SN.sorted.MAG8-A,Fa13.BD.MM15.SN.sorted.MAG8-C,Fa13.BD.MM15.SN.sorted.MAG8-G,Fa13.BD.MM15.SN.sorted.MAG8-T,Fa13.BD.MM110.DN.sorted.MAG8-A,Fa13.BD.MM110.DN.sorted.MAG8-C,Fa13.BD.MM110.DN.sorted.MAG8-G,Fa13.BD.MM110.DN.sorted.MAG8-T,Sp13.BD.MM15.DD.A.sorted.MAG8-A,Sp13.BD.MM15.DD.A.sorted.MAG8-C,Sp13.BD.MM15.DD.A.sorted.MAG8-G,Sp13.BD.MM15.DD.A.sorted.MAG8-T,Su13.BD.MM15.SD.sorted.MAG8-A,Su13.BD.MM15.SD.sorted.MAG8-C,Su13.BD.MM15.SD.sorted.MAG8-G,Su13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SN.sorted.MAG8-A,Fa13.BD.MM110.SN.sorted.MAG8-C,Fa13.BD.MM110.SN.sorted.MAG8-G,Fa13.BD.MM110.SN.sorted.MAG8-T,Sp13.BD.MM110.DD.sorted.MAG8-A,Sp13.BD.MM110.DD.sorted.MAG8-C,Sp13.BD.MM110.DD.sorted.MAG8-G,Sp13.BD.MM110.DD.sorted.MAG8-T,Fa13.BD.MM15.SD.sorted.MAG8-A,Fa13.BD.MM15.SD.sorted.MAG8-C,Fa13.BD.MM15.SD.sorted.MAG8-G,Fa13.BD.MM15.SD.sorted.MAG8-T,Fa13.BD.MM110.SD.sorted.MAG8-A,Fa13.BD.MM110.SD.sorted.MAG8-C,Fa13.BD.MM110.SD.sorted.MAG8-G,Fa13.BD.MM110.SD.sorted.MAG8-T,Su13.BD.MM15.DN.sorted.MAG8-A,Su13.BD.MM15.DN.sorted.MAG8-C,Su13.BD.MM15.DN.sorted.MAG8-G,Su13.BD.MM15.DN.sorted.MAG8-T
contig_20881_1,36,0,160,6,2,0,85,5,0,0,74,3,6,0,21,0,0,0,221,8,0,0,76,8,1,0,119,1,0,0,51,0,0,0,164,2,0,0,254,8,2,1,138,2,0,0,4,0,0,0,163,1,0,0,366,9,0,0,191,5,0,0,192,2,0,0,147,3,0,0,90,3,0,0,144,2,4,0,194,2,0,0,322,1,0,0,198,8,0,0,225,1,0,0,270,9,0
contig_20881_1,41,176,1,0,0,96,0,0,0,89,0,0,0,21,0,0,0,230,0,0,0,88,0,0,0,126,0,0,0,55,0,0,0,163,0,0,0,266,0,0,0,149,2,0,0,4,0,0,0,162,4,0,0,386,0,0,0,198,2,0,0,198,2,0,0,154,1,0,0,97,0,0,0,150,1,0,0,203,3,1,0,326,0,0,0,208,1,0,0,226,1,0,0,283,1,1,0
contig_20881_1,42,0,168,0,10,0,87,0,9,0,65,0,25,0,18,0,3,0,195,0,37,0,79,0,10,0,109,0,18,0,49,0,7,0,158,0,5,0,254,0,13,0,131,0,20,0,4,0,0,0,166,0,3,0,327,0,66,0,198,0,5,0,199,0,5,0,139,0,18,0,87,0,11,0,148,0,6,0,211,0,0,0,277,0,51,0,213,0,1,0,231,0,1,0,272,0,16
contig_20881_1,45,2,0,177,1,2,0,101,0,0,0,94,0,0,0,22,0,1,0,241,0,3,0,90,0,5,0,124,0,0,0,57,0,0,1,159,0,6,0,267,0,8,0,148,0,0,0,4,0,0,0,171,0,1,1,399,0,0,0,209,0,0,1,213,0,0,0,164,0,3,0,97,0,2,0,156,0,0,0,215,0,2,0,333,0,1,0,221,0,0,0,241,0,0,0,307,0
contig_20881_1,48,1,10,0,170,1,7,0,100,0,1,4,90,0,1,2,19,0,0,0,254,0,21,0,74,2,3,1,125,0,1,0,55,0,0,0,162,0,3,0,279,2,0,0,157,0,0,0,5,0,1,0,171,0,0,0,409,0,5,0,213,0,1,0,219,0,0,0,163,0,4,3,96,0,4,0,165,0,0,1,218,0,0,3,339,0,0,0,226,0,0,0,243,1,1,0,310
contig_20881_1,51,6,0,179,0,5,0,105,0,3,0,95,0,0,0,24,0,0,0,260,0,6,0,91,0,1,0,134,0,0,0,59,0,0,0,166,0,1,0,286,0,2,0,161,0,1,0,4,0,3,0,176,0,5,0,413,0,2,0,229,1,0,0,231,0,0,0,169,0,3,0,105,0,2,0,179,0,0,0,225,0,5,0,352,0,1,0,233,0,0,0,256,0,4,0,322,0
contig_20881_1,54,0,177,0,10,0,107,0,7,0,97,1,6,0,24,0,0,0,262,0,0,0,72,0,25,0,131,0,6,0,48,0,11,0,167,0,0,0,278,0,11,0,166,0,1,0,5,0,0,0,200,0,4,0,419,0,0,0,246,0,1,0,245,0,1,0,184,0,0,0,108,0,2,0,175,0,13,0,236,0,0,1,364,0,0,0,249,0,2,0,280,0,0,0,352,0,1
contig_20881_1,61,198,0,0,0,111,0,0,1,109,1,0,0,25,0,0,0,278,1,0,0,105,0,0,0,143,0,0,0,64,0,0,0,169,0,0,0,303,1,0,0,172,0,0,0,5,0,0,0,209,3,0,0,438,2,0,0,256,2,0,0,243,1,0,0,188,1,0,0,115,2,0,0,199,0,0,1,238,3,0,0,375,2,1,0,245,1,0,0,272,2,2,0,350,4,2,1
contig_20881_1,63,4,194,1,0,4,111,1,1,15,82,0,17,2,23,0,1,4,278,0,0,4,97,0,6,10,114,2,17,1,56,0,8,0,171,0,0,5,298,0,1,8,154,4,8,0,4,1,0,0,232,0,0,1,437,6,0,1,261,2,6,0,258,0,0,0,200,0,0,8,98,0,11,4,222,0,0,0,270,0,1,5,376,5,2,0,266,0,0,0,298,0,0,1,375,3,1
contig_20881_1,66,0,201,0,0,0,114,0,0,1,117,0,2,0,25,0,2,0,288,0,0,0,111,0,0,0,145,0,5,0,67,0,0,0,167,0,1,0,310,0,1,0,172,0,9,0,5,0,0,0,238,0,0,1,448,0,1,2,271,0,0,1,265,0,1,1,204,0,0,1,115,0,5,1,229,0,4,0,270,2,0,3,387,2,0,0,270,0,1,0,304,0,0,4,383,0,5
contig_20881_1,73,0,3,1,201,0,2,0,114,0,3,2,114,0,0,0,27,0,0,1,289,0,3,4,110,0,0,0,161,0,1,1,67,0,1,0,172,0,12,0,308,0,2,1,179,0,0,1,5,0,4,0,230,1,0,5,462,0,5,2,277,0,6,0,265,0,0,0,206,0,0,0,125,0,11,0,232,0,5,2,274,0,0,5,398,0,6,0,268,0,4,0,310,0,1,2,383
contig_20881_1,78,0,0,199,6,0,0,115,1,1,0,99,18,0,0,26,1,2,0,292,1,0,0,94,24,0,0,156,8,0,0,69,2,1,0,173,0,1,0,318,7,3,0,182,1,0,0,5,1,1,1,225,1,8,1,453,5,0,0,284,4,2,0,269,0,2,0,207,0,2,0,122,5,0,0,237,6,0,0,280,2,6,0,404,6,0,1,269,1,0,0,308,1,2,0,378,2
contig_20881_1,81,202,0,3,0,113,0,1,0,116,0,2,0,27,0,0,0,288,0,1,0,120,0,1,0,165,0,1,0,70,0,0,0,168,0,1,0,326,0,2,0,186,0,0,0,6,0,0,0,227,0,0,0,465,0,2,0,287,0,0,0,273,0,0,0,205,0,3,0,127,0,0,0,237,0,3,0,279,0,0,0,422,0,0,0,270,0,1,0,309,0,3,0,383,0,0,0
contig_20881_1,84,11,0,198,0,5,0,112,0,3,0,117,0,0,0,27,0,0,0,287,0,26,0,90,0,1,0,167,0,3,0,69,0,2,0,167,0,15,0,321,0,0,0,183,0,0,0,6,0,5,0,223,1,1,0,464,0,6,0,287,0,4,0,268,0,0,0,209,0,2,0,124,0,14,0,230,0,7,0,270,0,1,0,425,0,5,0,267,0,3,0,313,0,1,0,389,0
contig_20881_1,85,0,8,0,202,0,4,0,110,1,3,0,117,0,2,0,24,0,0,0,285,0,24,0,92,0,4,0,163,0,3,0,69,0,2,0,168,0,15,0,324,0,2,0,182,0,0,0,6,0,5,0,221,0,0,0,464,0,7,0,280,0,4,1,266,0,0,0,207,0,2,1,121,0,13,0,229,0,6,1,265,0,0,1,422,0,5,0,265,0,3,0,308,0,2,0,384
contig_20881_1,87,0,1,210,0,0,0,115,0,0,0,109,13,0,0,25,2,0,0,280,1,0,0,118,0,0,0,162,5,0,0,72,0,0,0,174,0,1,0,340,0,1,0,183,0,0,0,6,0,0,0,228,0,0,0,467,0,0,1,286,0,0,0,275,0,2,0,205,0,0,0,123,3,0,0,243,0,0,0,273,0,0,0,426,1,0,0,273,0,0,0,311,2,0,0,387,0
contig_20881_1,90,1,188,0,19,0,102,0,13,0,106,0,14,0,24,0,3,0,275,0,5,2,84,0,32,0,143,0,22,3,53,0,14,0,164,1,10,0,308,0,37,1,159,0,20,0,5,0,0,0,208,0,19,0,446,0,18,0,270,0,16,0,269,0,13,0,199,0,3,0,119,0,13,0,212,0,33,0,269,0,5,0,410,0,12,0,272,0,11,0,318,0,4,1,344,0,44
contig_20881_1,93,0,205,0,8,0,110,0,4,0,104,0,16,0,25,0,2,0,274,0,1,0,110,0,5,0,156,1,9,0,68,0,4,0,177,0,0,0,345,0,2,0,175,0,2,0,5,0,0,0,232,0,0,0,462,0,1,0,279,0,0,0,279,0,0,0,197,0,0,0,124,0,5,0,240,0,2,0,262,0,2,0,419,0,3,0,280,0,0,0,322,0,0,0,379,0,0
contig_20881_1,96,213,0,2,0,111,0,1,0,114,1,6,0,26,0,1,0,279,0,0,0,112,0,3,0,156,0,3,0,68,0,2,0,177,0,0,0,352,0,1,0,170,0,5,0,5,0,0,0,233,0,0,0,461,1,0,0,275,0,5,0,279,0,1,0,195,0,0,0,119,0,8,0,243,0,3,0,266,0,0,0,420,0,3,0,283,0,0,0,325,0,0,0,380,0,0,0
contig_20881_1,99,5,200,7,3,1,103,2,2,3,88,21,6,0,21,3,3,3,227,1,40,8,80,23,3,0,129,11,13,2,63,3,1,8,172,0,0,13,313,5,14,1,130,4,34,0,5,0,0,4,224,1,0,14,370,0,64,3,256,6,4,3,264,1,4,3,161,0,22,3,101,8,11,6,212,6,5,0,246,1,0,6,347,4,59,0,277,0,1,0,324,0,0,12,330,0,18
contig_20881_1,102,0,13,197,3,0,9,97,1,1,29,73,12,2,4,19,0,0,38,230,1,0,39,71,1,1,31,113,4,0,22,44,0,0,4,174,1,0,24,314,2,0,40,127,0,0,0,5,0,0,6,224,0,0,61,379,2,1,19,249,0,0,10,260,1,0,20,160,3,0,28,91,4,0,19,209,3,0,5,246,0,0,62,352,1,0,6,276,1,0,3,322,1,0,26,331,0
contig_20881_1,103,13,0,199,1,8,0,99,0,24,0,88,0,3,0,22,0,38,0,229,0,39,0,74,0,27,0,123,0,20,0,45,0,3,0,174,0,23,0,312,0,30,0,136,0,0,0,5,0,6,0,225,0,60,0,380,0,18,0,257,0,9,0,262,0,20,0,162,0,20,0,102,0,14,0,220,0,5,0,247,0,58,0,355,0,6,0,280,0,3,0,326,0,19,0,340,0
contig_20881_1,105,0,4,0,209,0,4,0,102,1,5,19,87,0,2,0,23,0,39,2,230,1,3,0,110,0,8,9,133,0,1,0,65,0,0,0,179,2,5,0,331,0,21,1,145,0,0,0,5,0,0,0,226,0,60,0,381,0,4,0,266,0,2,0,269,0,20,0,158,0,16,3,104,3,2,0,225,0,0,0,252,0,58,2,350,0,0,0,285,0,0,0,326,0,16,0,343
contig_20881_1,108,6,6,1,198,1,5,0,96,1,5,2,107,0,1,0,23,0,4,0,270,26,3,0,86,2,1,0,146,3,2,0,63,3,0,0,176,19,0,0,323,3,4,0,162,0,0,0,5,6,0,0,217,0,1,0,456,10,0,0,258,6,1,0,259,0,28,0,151,0,1,0,126,12,0,1,210,5,0,0,243,0,0,0,421,7,0,1,273,3,0,1,316,3,2,0,351
contig_20881_1,111,2,9,199,1,1,6,96,0,22,5,89,0,3,0,18,1,14,1,263,0,0,5,114,0,12,5,128,1,2,4,62,0,0,1,180,0,3,4,336,0,12,2,159,0,1,0,5,0,3,0,226,1,11,2,442,4,3,0,272,2,2,1,279,0,29,3,160,0,3,1,124,1,1,7,223,2,1,1,262,0,4,1,406,3,0,1,294,0,0,2,341,0,8,4,356,0
contig_20881_1,112,0,213,0,0,0,104,0,0,0,109,0,3,0,20,0,2,0,273,1,8,0,118,0,0,0,145,0,1,0,68,0,0,0,181,0,0,0,342,0,1,0,168,0,2,0,6,0,0,0,231,0,0,1,449,0,8,0,273,0,4,0,281,0,1,0,185,0,8,0,129,0,0,0,231,0,0,0,264,0,1,0,405,0,11,0,295,0,0,0,343,0,0,0,362,0,6
contig_20881_1,114,197,11,1,5,99,2,1,4,62,2,47,2,17,0,2,3,267,0,1,19,75,23,9,10,111,0,30,5,48,2,15,3,132,0,2,50,265,5,2,77,139,0,13,18,5,0,0,1,171,1,0,60,438,0,0,27,214,0,5,57,202,1,0,78,188,0,0,11,95,0,24,9,185,4,4,35,166,0,1,95,387,0,7,28,197,0,0,98,221,0,0,122,325,1,0,43
contig_20881_1,117,0,211,0,4,0,102,0,5,0,113,0,2,0,21,0,0,0,284,0,0,0,112,0,6,0,142,0,3,0,67,0,3,0,187,0,0,0,346,0,0,0,170,0,1,0,6,0,0,0,232,0,0,0,465,0,2,0,276,0,1,0,278,0,0,0,201,0,0,0,129,0,2,0,230,0,0,0,262,0,0,0,429,1,3,0,294,0,0,0,341,0,0,0,370,0,1
contig_20881_1,120,0,190,0,24,0,94,0,11,0,52,0,64,0,0,0,21,0,67,0,223,0,71,0,48,0,71,0,75,0,48,0,23,0,4,0,182,0,60,2,286,0,64,0,108,0,0,0,6,0,9,0,219,0,149,0,317,0,36,0,229,0,21,0,262,0,23,0,173,0,50,0,82,0,45,0,196,0,0,0,274,0,149,0,284,0,12,0,283,0,4,0,336,0,71,0,264
contig_20881_1,123,202,4,0,4,97,2,0,4,111,0,0,3,18,2,0,2,243,48,0,0,112,3,0,4,142,4,1,1,68,1,0,3,185,0,0,0,342,7,2,0,151,21,0,2,6,0,0,0,228,3,0,0,390,75,1,1,258,7,0,4,276,4,0,1,173,20,0,0,123,11,0,1,239,1,0,1,276,0,0,0,372,72,0,0,296,0,0,0,340,0,0,1,315,17,0,0
contig_20881_1,126,192,0,19,0,101,0,6,0,110,0,2,0,22,0,0,0,291,0,0,1,109,0,12,0,148,0,2,0,66,0,7,0,179,0,5,0,331,0,20,0,168,0,2,0,6,0,0,0,227,0,6,0,466,0,5,0,261,0,9,0,276,0,8,0,197,0,3,0,132,0,2,0,225,0,15,0,275,0,6,0,452,0,0,0,290,0,9,0,332,0,8,0,324,0,4,0
contig_20881_1,129,197,11,6,0,95,2,3,1,76,32,2,1,22,2,0,0,291,3,0,0,80,37,0,0,130,19,3,0,50,22,1,0,177,4,0,0,327,31,1,0,163,15,0,0,5,0,0,0,217,6,0,0,473,0,0,0,251,10,0,0,269,7,1,0,166,30,0,0,118,16,1,0,210,17,0,0,273,6,0,0,449,2,0,1,283,9,0,0,317,4,0,0,307,3,1,0
