,Position,Su13.BD.MLB.DD.MAG1-A,Su13.BD.MLB.DD.MAG1-C,Su13.BD.MLB.DD.MAG1-G,Su13.BD.MLB.DD.MAG1-T,Sp13.BD.MM15.DD.A.MAG1-A,Sp13.BD.MM15.DD.A.MAG1-C,Sp13.BD.MM15.DD.A.MAG1-G,Sp13.BD.MM15.DD.A.MAG1-T,Fa13.BD.MLB.SN.MAG1-A,Fa13.BD.MLB.SN.MAG1-C,Fa13.BD.MLB.SN.MAG1-G,Fa13.BD.MLB.SN.MAG1-T,Sp13.BD.MM110.DD.MAG1-A,Sp13.BD.MM110.DD.MAG1-C,Sp13.BD.MM110.DD.MAG1-G,Sp13.BD.MM110.DD.MAG1-T,Su13.BD.MM110.SN.C.MAG1-A,Su13.BD.MM110.SN.C.MAG1-C,Su13.BD.MM110.SN.C.MAG1-G,Su13.BD.MM110.SN.C.MAG1-T,Fa13.BD.MM15.DN.MAG1-A,Fa13.BD.MM15.DN.MAG1-C,Fa13.BD.MM15.DN.MAG1-G,Fa13.BD.MM15.DN.MAG1-T,Su13.BD.MM15.DN.MAG1-A,Su13.BD.MM15.DN.MAG1-C,Su13.BD.MM15.DN.MAG1-G,Su13.BD.MM15.DN.MAG1-T,Sp13.BD.MM110.SD.MAG1-A,Sp13.BD.MM110.SD.MAG1-C,Sp13.BD.MM110.SD.MAG1-G,Sp13.BD.MM110.SD.MAG1-T,Su13.BD.MM110.SD.MAG1-A,Su13.BD.MM110.SD.MAG1-C,Su13.BD.MM110.SD.MAG1-G,Su13.BD.MM110.SD.MAG1-T,Fa13.BD.MM15.SD.MAG1-A,Fa13.BD.MM15.SD.MAG1-C,Fa13.BD.MM15.SD.MAG1-G,Fa13.BD.MM15.SD.MAG1-T,Fa13.BD.MM110.SN.MAG1-A,Fa13.BD.MM110.SN.MAG1-C,Fa13.BD.MM110.SN.MAG1-G,Fa13.BD.MM110.SN.MAG1-T,Su13.BD.MM15.SN.C.MAG1-A,Su13.BD.MM15.SN.C.MAG1-C,Su13.BD.MM15.SN.C.MAG1-G,Su13.BD.MM15.SN.C.MAG1-T,Fa13.BD.MM110.SD.MAG1-A,Fa13.BD.MM110.SD.MAG1-C,Fa13.BD.MM110.SD.MAG1-G,Fa13.BD.MM110.SD.MAG1-T,Fa13.BD.MM110.DN.MAG1-A,Fa13.BD.MM110.DN.MAG1-C,Fa13.BD.MM110.DN.MAG1-G,Fa13.BD.MM110.DN.MAG1-T,Sp13.BD.MM15.SD.MAG1-A,Sp13.BD.MM15.SD.MAG1-C,Sp13.BD.MM15.SD.MAG1-G,Sp13.BD.MM15.SD.MAG1-T,Sp13.BD.MLB.SN.MAG1-A,Sp13.BD.MLB.SN.MAG1-C,Sp13.BD.MLB.SN.MAG1-G,Sp13.BD.MLB.SN.MAG1-T,Sp13.BD.MM15.SN.MAG1-A,Sp13.BD.MM15.SN.MAG1-C,Sp13.BD.MM15.SN.MAG1-G,Sp13.BD.MM15.SN.MAG1-T,Fa13.BD.MLB.DN.MAG1-A,Fa13.BD.MLB.DN.MAG1-C,Fa13.BD.MLB.DN.MAG1-G,Fa13.BD.MLB.DN.MAG1-T,Su13.BD.MLB.SD.C.MAG1-A,Su13.BD.MLB.SD.C.MAG1-C,Su13.BD.MLB.SD.C.MAG1-G,Su13.BD.MLB.SD.C.MAG1-T,Su13.BD.MM15.SD.MAG1-A,Su13.BD.MM15.SD.MAG1-C,Su13.BD.MM15.SD.MAG1-G,Su13.BD.MM15.SD.MAG1-T,Sp13.BD.MM110.SN.MAG1-A,Sp13.BD.MM110.SN.MAG1-C,Sp13.BD.MM110.SN.MAG1-G,Sp13.BD.MM110.SN.MAG1-T,Fa13.BD.MM15.SN.MAG1-A,Fa13.BD.MM15.SN.MAG1-C,Fa13.BD.MM15.SN.MAG1-G,Fa13.BD.MM15.SN.MAG1-T
contig_19657_2,94,0,0,5,0,0,0,6,1,0,1,43,2,0,0,8,2,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0,8,0,0,0,2,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,2,0
contig_19657_2,124,0,3,1,0,0,2,1,0,0,42,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,1,0,0,0,18,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0
contig_19657_2,130,3,1,0,0,2,1,0,0,43,1,0,1,2,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,20,1,0,1,5,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0
contig_19657_2,133,0,0,3,1,0,0,2,1,1,0,44,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,22,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,4,0
contig_19657_2,134,3,0,1,0,2,0,1,0,43,0,2,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,21,0,2,0,5,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0
contig_19657_2,145,0,5,0,0,0,3,0,1,0,41,0,1,0,3,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,4,0,0
contig_19657_2,148,0,2,0,3,0,1,0,3,0,0,1,40,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,0,1,0,20,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,4
contig_19657_2,149,3,0,0,2,3,0,0,1,40,1,0,0,2,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,20,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
contig_19657_2,151,2,4,0,0,0,4,0,0,15,26,0,0,0,5,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,0,1,5,18,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,3,0,0
contig_19657_2,159,6,0,2,0,6,0,0,0,41,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,2,0,25,0,1,0,6,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0
contig_19657_2,169,0,1,8,0,0,0,7,0,1,1,42,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,8,0,0,0,9,0,1,1,24,0,0,15,8,0,0,0,1,0,0,0,1,0,0,0,6,0
contig_19657_2,181,0,8,5,0,0,6,1,0,0,60,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,8,1,0,0,5,3,0,0,19,2,0,1,7,14,0,0,0,1,0,0,0,0,0,0,6,0,0
contig_19657_2,190,0,13,2,0,0,6,0,0,0,62,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1,0,0,7,0,0,0,16,0,2,0,21,0,0,0,0,1,0,0,0,0,0,0,5,0,0
contig_19657_2,202,0,13,0,0,0,4,0,1,0,61,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1,0,6,0,1,0,18,0,0,0,19,0,1,0,1,0,0,0,0,0,0,0,5,0,0
contig_19657_2,216,5,0,4,0,8,0,0,0,49,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,2,0,0,0,0,0,2,0,3,0,0,0,3,0,0,0,7,0,1,0,18,0,1,0,7,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0
contig_19657_2,217,0,0,9,0,0,0,8,0,0,0,50,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,2,0,0,0,2,0,0,0,3,0,0,0,3,0,0,1,7,0,0,0,16,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0
contig_19657_2,220,0,6,3,0,1,7,0,0,1,51,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,2,0,0,0,0,0,2,0,1,1,1,0,2,1,0,0,1,4,2,3,17,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0
contig_19657_2,226,2,6,0,0,0,4,0,0,0,50,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,6,1,0,0,20,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0
contig_19657_2,229,0,4,2,0,0,4,0,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,6,1,0,0,20,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,0
contig_19657_2,231,0,0,6,0,0,0,4,0,0,1,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,7,0,0,3,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0
contig_19657_2,232,0,1,3,1,0,0,3,1,0,1,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,19,0,0,11,6,2,0,0,0,0,0,0,0,0,0,0,5,0
contig_19657_2,234,0,5,0,0,0,4,0,0,0,44,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,7,0,0,0,17,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0
contig_19657_2,235,0,1,0,4,0,0,0,4,0,1,0,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,18,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,4
contig_19657_2,236,0,0,0,5,0,0,0,4,0,0,1,46,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,18,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,4
contig_19657_2,237,0,1,4,0,0,0,4,0,0,1,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,0,18,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,4,0
contig_19657_2,238,0,0,5,0,1,0,3,0,0,0,46,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,7,0,0,0,18,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0
contig_19657_2,241,4,0,1,0,4,0,0,0,45,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,6,0,1,0,18,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0
contig_19657_2,249,0,0,4,1,0,0,4,0,0,0,46,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,6,0,0,0,13,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,3,0
contig_19657_2,250,0,4,1,0,0,4,0,0,0,46,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,6,0,0,0,15,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,3,0,0
contig_19657_2,256,1,0,4,0,0,1,5,0,0,0,43,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,1,0,1,5,0,0,0,17,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,4,0
contig_19657_2,258,0,3,0,2,0,6,0,0,0,42,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,3,0,0,0,6,0,0,0,17,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,5,0,0
contig_19657_2,262,0,3,2,0,0,7,0,0,0,42,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,0,3,1,0,0,2,0,1,0,3,3,0,0,17,0,0,0,17,0,1,0,2,0,0,0,0,0,0,0,3,0,2
contig_19657_2,268,0,1,0,1,0,3,0,1,0,42,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,2,0,3,0,3,0,16,0,0,0,16,0,1,0,2,0,0,0,0,0,0,0,5,0,0
