,Position,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
contig_19439_3,132,0.0,0.004,0.0,0.996,0.0,0.396,0.0,0.604,0.0,0.872,0.0,0.128,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,135,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.012,0.02,0.0,0.968
contig_19439_3,138,0.0,0.0,1.0,0.0,0.0,0.984,0.012,0.004,0.0,0.064,0.008,0.928,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.772,0.156,0.072
contig_19439_3,139,0.0,0.0,0.0,1.0,0.0,0.004,0.996,0.0,0.0,0.02,0.0,0.98,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.96,0.008,0.032
contig_19439_3,141,0.0,0.508,0.492,0.0,0.0,0.0,0.0,1.0,0.004,0.004,0.868,0.124,0.0,0.0,0.512,0.488,0.0,0.0,0.0,1.0,0.004,0.488,0.0,0.508
contig_19439_3,144,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.004,0.0,0.996,0.0
contig_19439_3,147,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,154,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.668,0.332,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004,0.0,0.0
contig_19439_3,159,1.0,0.0,0.0,0.0,0.0,0.0,0.992,0.008,0.096,0.0,0.904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.26,0.0,0.212,0.528
contig_19439_3,160,0.0,0.0,0.0,1.0,0.992,0.0,0.0,0.008,0.992,0.0,0.0,0.008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.708,0.004,0.124,0.164
contig_19439_3,162,0.0,0.0,1.0,0.0,0.004,0.964,0.028,0.004,0.0,0.448,0.552,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.508,0.424,0.06
contig_19439_3,165,0.0,0.0,0.0,1.0,0.0,0.996,0.0,0.004,0.0,0.988,0.0,0.012,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.888,0.0,0.112
contig_19439_3,168,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.984,0.0,0.012,0.004
contig_19439_3,171,0.0,0.0,0.0,1.0,0.0,0.956,0.0,0.044,0.0,0.996,0.0,0.004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012,0.828,0.012,0.148
contig_19439_3,174,0.0,0.0,1.0,0.0,0.0,0.008,0.984,0.008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.004,0.008,0.968,0.02
contig_19439_3,175,0.0,0.94,0.0,0.06,0.0,0.06,0.528,0.412,0.0,0.052,0.688,0.26,0.0,0.0,0.732,0.268,0.0,0.0,1.0,0.0,0.004,0.084,0.616,0.296
contig_19439_3,177,0.0,0.0,1.0,0.0,0.396,0.592,0.012,0.0,0.032,0.92,0.048,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42,0.492,0.088,0.0
contig_19439_3,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.276,0.004,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.144,0.008,0.844,0.004
contig_19439_3,181,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.036,0.148,0.812,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.008,0.104,0.7,0.188
contig_19439_3,182,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.14,0.0,0.86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024,0.832,0.02,0.124
contig_19439_3,183,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1,0.108,0.792,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.004,0.068,0.872,0.056
contig_19439_3,191,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.864,0.0,0.136,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004,0.576,0.012,0.408
contig_19439_3,192,0.004,0.996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,195,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004,0.996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.064,0.932,0.0,0.004
contig_19439_3,213,0.0,0.1,0.9,0.0,0.0,0.996,0.004,0.0,0.004,0.328,0.62,0.048,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.024,0.976,0.0
contig_19439_3,219,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.256,0.716,0.028,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.988,0.012,0.0
contig_19439_3,222,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.952,0.0,0.048,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996,0.0
contig_19439_3,225,0.0,0.0,1.0,0.0,0.0,0.984,0.016,0.0,0.0,0.0,0.012,0.988,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.896,0.004
contig_19439_3,228,1.0,0.0,0.0,0.0,0.912,0.0,0.088,0.0,0.004,0.004,0.992,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.096,0.004,0.9,0.0
contig_19439_3,237,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.992,0.0,0.008,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,240,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.988,0.008,0.004,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.132,0.868,0.0
contig_19439_3,243,0.0,0.116,0.0,0.884,0.0,0.0,0.0,1.0,0.0,0.784,0.0,0.216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
contig_19439_3,246,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.0,0.004
contig_19439_3,249,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_19439_3,251,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.304,0.696,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
contig_19439_3,252,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,255,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,258,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,261,0.0,0.032,0.968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.048,0.952,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004,0.0,0.996
contig_19439_3,264,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.128,0.004,0.772,0.096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_19439_3,267,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.092,0.0,0.908
contig_19439_3,276,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0.94,0.0,0.94,0.0,0.06,0.0,0.0,0.0,1.0,0.0,0.096,0.06,0.844
contig_19439_3,279,0.0,0.06,0.94,0.0,0.0,0.0,0.052,0.948,0.0,0.944,0.0,0.056,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
contig_19439_3,281,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.028,0.0,0.016,0.956
contig_19439_3,282,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012,0.988,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_19439_3,289,0.0,1.0,0.0,0.0,0.0,0.124,0.0,0.876,0.0,0.024,0.0,0.976,0.0,0.992,0.0,0.008,0.0,0.0,0.0,1.0,0.0,0.94,0.004,0.056
contig_19439_3,294,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.884,0.028,0.088,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.976,0.004
contig_19439_3,295,0.0,1.0,0.0,0.0,0.0,0.012,0.0,0.988,0.0,0.016,0.0,0.984,0.0,0.992,0.0,0.008,0.0,0.0,0.0,1.0,0.0,0.916,0.0,0.084
contig_19439_3,300,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.988,0.012,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,306,0.0,0.0,0.0,1.0,0.0,0.876,0.0,0.124,0.0,0.072,0.008,0.92,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.324,0.0,0.676
contig_19439_3,310,0.0,1.0,0.0,0.0,0.016,0.984,0.0,0.0,0.512,0.312,0.008,0.168,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.096,0.052,0.0,0.852
contig_19439_3,312,0.0,0.004,0.996,0.0,0.0,0.992,0.008,0.0,0.0,0.972,0.028,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.58,0.412,0.0
contig_19439_3,315,0.0,0.0,1.0,0.0,0.932,0.0,0.068,0.0,0.672,0.0,0.328,0.0,0.976,0.0,0.024,0.0,1.0,0.0,0.0,0.0,0.008,0.0,0.992,0.0
contig_19439_3,318,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.524,0.0,0.476,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.356,0.0,0.644,0.0
contig_19439_3,321,0.0,0.748,0.004,0.248,0.0,0.592,0.0,0.408,0.0,0.964,0.024,0.012,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.244,0.4,0.356
contig_19439_3,325,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.992,0.0,0.008,0.0
contig_19439_3,327,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.112,0.888,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.992,0.0
contig_19439_3,333,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.92,0.004,0.076
contig_19439_3,334,0.0,0.0,1.0,0.0,0.652,0.0,0.348,0.0,0.984,0.0,0.016,0.0,0.304,0.0,0.696,0.0,1.0,0.0,0.0,0.0,0.084,0.004,0.912,0.0
contig_19439_3,339,0.0,0.0,1.0,0.0,0.104,0.0,0.896,0.0,0.096,0.0,0.904,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.892,0.0,0.108,0.0
contig_19439_3,342,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.152,0.0,0.848,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.068,0.004,0.924,0.004
contig_19439_3,351,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.568,0.432,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.204,0.796,0.0
contig_19439_3,352,0.0,0.884,0.116,0.0,0.0,0.988,0.012,0.0,0.0,0.144,0.856,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,354,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
contig_19439_3,357,0.008,0.992,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,369,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02,0.0,0.98,0.0,0.92,0.0,0.08,0.0,0.0,0.0,1.0,0.0,0.176,0.0,0.824,0.0
contig_19439_3,372,0.0,1.0,0.0,0.0,0.0,0.04,0.96,0.0,0.0,0.0,1.0,0.0,0.0,0.104,0.896,0.0,0.0,0.0,1.0,0.0,0.0,0.84,0.16,0.0
contig_19439_3,373,0.972,0.028,0.0,0.0,1.0,0.0,0.0,0.0,0.02,0.98,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,375,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.988,0.012,0.0,0.0,0.012,0.988,0.0,0.0,1.0,0.0,0.0,0.0,0.432,0.524,0.044
contig_19439_3,378,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.076,0.0,0.924,0.0,0.664,0.0,0.336,0.0,0.0,0.0,1.0,0.0,0.564,0.0,0.436,0.0
contig_19439_3,382,1.0,0.0,0.0,0.0,0.788,0.0,0.0,0.212,0.532,0.0,0.02,0.448,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.216,0.0,0.052,0.732
contig_19439_3,383,0.0,1.0,0.0,0.0,0.184,0.816,0.0,0.0,0.78,0.136,0.064,0.02,0.108,0.892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.064,0.936,0.0
contig_19439_3,384,0.0,0.0,1.0,0.0,0.0,0.004,0.996,0.0,0.0,0.432,0.0,0.568,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.508,0.052,0.44
contig_19439_3,393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.888,0.02,0.092,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.076,0.128,0.212,0.584
contig_19439_3,396,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004,0.0,0.996
contig_19439_3,399,0.0,0.0,0.0,1.0,0.0,0.66,0.0,0.34,0.0,0.932,0.0,0.068,0.0,0.964,0.0,0.036,0.0,1.0,0.0,0.0,0.0,0.044,0.0,0.956
contig_19439_3,402,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.556,0.436,0.008,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
contig_19439_3,414,0.0,0.0,0.0,1.0,0.0,0.88,0.0,0.12,0.0,0.948,0.0,0.052,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004,0.38,0.096,0.52
contig_19439_3,423,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.788,0.212,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.096,0.22,0.684
contig_19439_3,426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
contig_19439_3,429,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
contig_19439_3,435,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004,0.02,0.976,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.024,0.64,0.316,0.02
contig_19439_3,438,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.98,0.0,0.02,0.0
contig_19439_3,441,0.0,0.456,0.0,0.544,0.0,1.0,0.0,0.0,0.0,0.656,0.0,0.344,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
