,Position,Fa13.BD.MLB.SN.MAG4-A,Fa13.BD.MLB.SN.MAG4-C,Fa13.BD.MLB.SN.MAG4-G,Fa13.BD.MLB.SN.MAG4-T,Su13.BD.MLB.DD.MAG4-A,Su13.BD.MLB.DD.MAG4-C,Su13.BD.MLB.DD.MAG4-G,Su13.BD.MLB.DD.MAG4-T,Su13.BD.MM15.SN.C.MAG4-A,Su13.BD.MM15.SN.C.MAG4-C,Su13.BD.MM15.SN.C.MAG4-G,Su13.BD.MM15.SN.C.MAG4-T,Sp13.BD.MM110.DD.MAG4-A,Sp13.BD.MM110.DD.MAG4-C,Sp13.BD.MM110.DD.MAG4-G,Sp13.BD.MM110.DD.MAG4-T,Fa13.BD.MM15.SD.MAG4-A,Fa13.BD.MM15.SD.MAG4-C,Fa13.BD.MM15.SD.MAG4-G,Fa13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.DN.MAG4-A,Su13.BD.MM110.DN.MAG4-C,Su13.BD.MM110.DN.MAG4-G,Su13.BD.MM110.DN.MAG4-T,Fa13.BD.MM15.SN.MAG4-A,Fa13.BD.MM15.SN.MAG4-C,Fa13.BD.MM15.SN.MAG4-G,Fa13.BD.MM15.SN.MAG4-T,Su13.BD.MLB.SD.C.MAG4-A,Su13.BD.MLB.SD.C.MAG4-C,Su13.BD.MLB.SD.C.MAG4-G,Su13.BD.MLB.SD.C.MAG4-T,Fa13.BD.MM110.SD.MAG4-A,Fa13.BD.MM110.SD.MAG4-C,Fa13.BD.MM110.SD.MAG4-G,Fa13.BD.MM110.SD.MAG4-T,Sp13.BD.MM110.SN.MAG4-A,Sp13.BD.MM110.SN.MAG4-C,Sp13.BD.MM110.SN.MAG4-G,Sp13.BD.MM110.SN.MAG4-T,Su13.BD.MM110.DCMD.MAG4-A,Su13.BD.MM110.DCMD.MAG4-C,Su13.BD.MM110.DCMD.MAG4-G,Su13.BD.MM110.DCMD.MAG4-T,Su13.BD.MM15.DN.MAG4-A,Su13.BD.MM15.DN.MAG4-C,Su13.BD.MM15.DN.MAG4-G,Su13.BD.MM15.DN.MAG4-T,Fa13.BD.MM110.SN.MAG4-A,Fa13.BD.MM110.SN.MAG4-C,Fa13.BD.MM110.SN.MAG4-G,Fa13.BD.MM110.SN.MAG4-T,Sp13.BD.MM15.SN.MAG4-A,Sp13.BD.MM15.SN.MAG4-C,Sp13.BD.MM15.SN.MAG4-G,Sp13.BD.MM15.SN.MAG4-T,Fa13.BD.MM15.DN.MAG4-A,Fa13.BD.MM15.DN.MAG4-C,Fa13.BD.MM15.DN.MAG4-G,Fa13.BD.MM15.DN.MAG4-T,Sp13.BD.MM15.DD.A.MAG4-A,Sp13.BD.MM15.DD.A.MAG4-C,Sp13.BD.MM15.DD.A.MAG4-G,Sp13.BD.MM15.DD.A.MAG4-T,Sp13.BD.MM15.SD.MAG4-A,Sp13.BD.MM15.SD.MAG4-C,Sp13.BD.MM15.SD.MAG4-G,Sp13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SD.MAG4-A,Su13.BD.MM110.SD.MAG4-C,Su13.BD.MM110.SD.MAG4-G,Su13.BD.MM110.SD.MAG4-T,Fa13.BD.MM110.DN.MAG4-A,Fa13.BD.MM110.DN.MAG4-C,Fa13.BD.MM110.DN.MAG4-G,Fa13.BD.MM110.DN.MAG4-T,Sp13.BD.MLB.SN.MAG4-A,Sp13.BD.MLB.SN.MAG4-C,Sp13.BD.MLB.SN.MAG4-G,Sp13.BD.MLB.SN.MAG4-T,Su13.BD.MM15.SD.MAG4-A,Su13.BD.MM15.SD.MAG4-C,Su13.BD.MM15.SD.MAG4-G,Su13.BD.MM15.SD.MAG4-T,Su13.BD.MM110.SN.C.MAG4-A,Su13.BD.MM110.SN.C.MAG4-C,Su13.BD.MM110.SN.C.MAG4-G,Su13.BD.MM110.SN.C.MAG4-T,Sp13.BD.MM110.SD.MAG4-A,Sp13.BD.MM110.SD.MAG4-C,Sp13.BD.MM110.SD.MAG4-G,Sp13.BD.MM110.SD.MAG4-T,Fa13.BD.MLB.DN.MAG4-A,Fa13.BD.MLB.DN.MAG4-C,Fa13.BD.MLB.DN.MAG4-G,Fa13.BD.MLB.DN.MAG4-T
contig_18674_1,138,0,34,0,5,0,10,0,1,0,5,0,0,0,43,0,18,0,3,0,3,0,1,0,0,0,2,0,5,0,9,0,2,0,0,0,0,0,40,0,28,0,0,0,0,0,2,0,0,0,1,0,0,0,6,0,8,0,7,0,6,0,9,0,4,0,7,0,6,0,3,0,2,0,7,0,7,0,3,0,10,0,0,0,0,0,1,0,2,0,45,0,40,0,9,0,7
contig_18674_1,141,37,0,2,0,8,0,3,0,4,0,2,0,45,0,17,0,5,0,1,0,0,0,1,0,6,0,1,0,9,0,2,0,0,0,0,0,48,0,19,0,0,0,0,0,1,0,1,0,0,0,1,0,11,0,3,0,11,0,2,0,10,0,3,0,11,0,2,0,3,0,2,0,12,0,2,0,13,0,0,0,0,0,0,0,3,0,0,0,64,0,24,0,16,0,0,0
contig_18674_1,147,2,0,39,0,3,0,7,0,2,0,4,0,11,0,52,0,1,0,4,0,1,0,0,0,1,0,4,0,1,0,8,0,0,0,0,0,17,0,51,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,9,0,3,0,11,0,3,0,9,0,0,0,13,0,2,0,1,0,2,0,11,0,0,0,10,0,0,0,1,0,0,0,3,0,19,0,70,0,0,0,16,0
contig_18674_1,158,41,0,0,0,9,0,0,0,7,0,0,0,57,2,0,0,6,0,0,0,1,0,0,0,5,0,0,0,9,0,0,0,1,0,0,0,66,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,11,0,0,0,14,0,0,0,13,0,0,0,12,0,0,0,1,0,0,0,13,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,81,5,0,0,19,0,0,0
contig_18674_1,165,0,7,0,34,0,7,0,3,0,6,0,1,0,64,0,0,0,8,0,1,0,1,0,0,0,10,0,0,0,4,0,6,0,2,0,0,0,71,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,10,0,1,0,29,0,0,0,12,0,2,0,16,0,0,0,4,0,0,0,22,0,2,0,4,1,0,0,2,0,0,0,1,0,0,0,91,0,0,0,17,0,11
contig_18674_1,168,0,42,0,0,0,7,0,3,0,5,0,2,0,64,0,0,0,9,0,0,0,1,0,0,0,10,0,0,0,9,0,1,0,2,0,0,0,71,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,11,0,0,0,30,0,0,0,14,0,1,0,14,0,2,0,4,0,0,0,24,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,95,0,0,0,29,0,0
contig_18674_1,171,0,5,37,0,3,2,5,0,2,2,3,0,0,43,19,0,0,5,3,0,0,0,1,0,0,7,2,0,1,0,9,0,0,2,0,0,0,51,21,0,0,0,0,0,0,2,3,0,0,0,1,0,0,6,5,0,0,25,5,0,1,8,6,0,2,12,1,0,0,4,0,0,0,19,5,0,0,3,1,0,0,2,0,0,0,1,0,0,0,67,29,0,0,16,11,2
contig_18674_1,174,14,0,0,28,3,3,0,4,0,2,0,5,0,0,0,61,1,0,0,7,0,0,0,1,0,0,0,10,6,1,0,3,0,0,0,2,0,0,0,71,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,13,0,0,0,31,2,1,0,13,0,2,0,12,0,0,0,4,0,0,0,24,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,97,4,0,0,26
contig_18674_1,177,1,36,0,6,0,6,0,5,0,3,0,5,0,17,0,44,0,3,0,5,0,1,0,0,0,5,0,7,0,9,0,1,0,0,0,2,0,21,0,51,0,0,0,0,0,3,0,3,0,1,0,1,0,5,0,8,0,6,0,26,0,7,0,9,0,1,0,13,0,0,0,4,0,5,0,19,0,2,0,3,0,0,0,2,0,0,0,1,0,29,0,68,0,16,0,16
contig_18674_1,180,0,0,47,0,3,0,8,0,4,0,4,0,21,0,39,0,0,0,8,0,0,0,1,0,2,0,10,0,1,0,9,0,0,0,2,0,12,0,60,0,0,0,0,0,2,0,4,0,1,0,1,0,0,0,14,0,6,0,26,0,6,0,11,0,6,0,8,0,3,0,0,0,3,0,21,0,0,0,5,0,2,0,0,0,1,0,0,0,14,0,86,0,0,0,34,0
contig_18674_1,183,0,42,0,6,0,6,0,5,0,3,0,5,0,20,0,39,0,4,0,4,0,1,0,0,0,5,0,7,0,9,0,1,0,0,0,2,0,21,0,50,0,0,0,0,0,3,0,3,0,1,0,1,0,7,0,7,0,7,0,26,0,7,0,10,0,1,0,13,0,0,0,3,0,6,0,18,0,3,0,2,0,0,0,2,0,0,0,1,0,31,0,68,0,18,0,16
contig_18674_1,186,0,49,0,2,0,7,0,4,0,4,0,4,0,40,0,18,0,8,0,3,0,0,0,1,0,13,0,3,0,6,0,4,0,4,0,0,0,52,0,19,0,0,0,0,0,4,0,4,0,2,0,1,0,8,0,6,0,28,0,8,0,12,0,6,0,13,0,1,0,3,0,0,0,21,0,3,0,2,0,3,0,2,0,0,0,1,0,0,0,71,0,30,0,38,0,2
contig_18674_1,195,0,50,0,2,0,10,0,2,0,6,0,2,0,42,0,18,0,8,0,4,0,0,0,3,0,13,0,4,0,9,0,3,0,4,0,0,0,54,0,19,0,0,0,0,0,5,0,4,0,4,0,1,0,11,0,5,0,28,0,9,0,16,0,6,0,17,0,1,0,3,0,0,0,26,0,3,0,5,0,0,0,1,0,1,0,1,0,0,0,74,0,34,0,36,0,3
contig_18674_1,201,0,11,0,42,0,6,0,5,0,5,0,4,0,41,0,21,0,7,0,5,0,0,0,2,0,11,0,6,0,3,0,9,0,4,0,0,0,52,0,19,0,0,0,0,0,5,0,4,0,4,0,1,1,12,0,6,0,23,0,9,0,14,0,8,0,18,0,1,0,3,0,0,0,22,0,5,0,4,0,1,0,2,0,0,0,1,0,0,0,74,0,33,0,22,0,23
contig_18674_1,216,42,0,6,0,8,0,5,0,4,0,13,0,23,0,42,0,5,0,4,0,2,0,0,0,6,0,7,0,9,0,1,0,0,0,2,0,20,0,50,0,0,0,4,0,5,0,11,0,1,0,4,0,7,0,12,0,9,0,25,0,6,0,11,0,2,0,19,0,0,0,9,0,5,0,30,0,2,0,3,0,1,0,5,0,0,0,2,0,30,1,85,0,26,0,20,0
contig_18674_1,228,0,35,7,1,0,4,1,2,0,3,2,1,0,3,37,20,0,2,4,4,0,0,0,2,0,2,7,3,0,7,0,2,0,0,2,0,0,3,46,18,0,0,0,0,0,0,5,6,0,0,2,1,0,1,10,3,0,1,18,9,0,4,5,4,0,1,12,2,0,0,3,0,0,2,28,2,0,2,1,0,0,1,1,0,0,0,0,0,0,4,69,26,0,19,17,5
contig_18674_1,231,35,0,9,0,5,0,2,0,2,0,4,0,23,0,37,0,6,0,4,0,2,0,0,0,5,0,7,0,6,1,1,0,0,0,2,0,19,0,45,0,0,0,0,0,6,0,6,0,1,0,2,0,4,0,10,0,10,0,18,0,8,0,4,0,2,0,12,0,0,0,3,0,4,0,28,0,2,0,3,0,1,0,1,0,0,0,0,0,29,0,70,0,25,0,16,0
contig_18674_1,237,0,0,28,16,0,0,4,2,0,0,9,1,0,6,37,21,0,0,6,4,0,0,0,2,0,0,8,5,1,0,6,1,0,0,0,0,0,2,49,19,0,0,0,0,0,0,3,11,0,1,0,2,0,1,11,3,0,0,19,14,0,3,11,4,0,1,19,2,0,2,0,1,0,0,29,4,0,0,4,0,0,0,0,2,0,0,0,0,0,9,83,29,0,0,25,16
contig_18674_1,238,0,9,0,35,0,3,0,3,0,9,0,1,0,47,0,17,0,5,0,4,0,0,0,2,0,8,0,5,0,2,0,6,0,0,0,0,0,55,0,16,0,0,0,0,0,8,0,6,0,2,0,1,0,11,0,3,0,24,0,9,0,11,0,7,0,20,0,2,0,3,0,0,0,31,0,4,0,4,0,0,0,1,0,1,0,0,0,0,0,97,0,24,0,16,0,24
contig_18674_1,240,0,0,35,9,0,0,3,3,0,0,1,9,0,0,19,46,0,0,4,5,0,0,2,0,0,0,6,8,0,0,6,2,0,0,1,0,0,0,16,55,0,0,0,0,0,0,6,8,0,0,2,2,0,0,5,11,0,0,9,24,0,0,7,11,0,0,2,20,0,0,2,3,0,0,4,31,0,0,0,5,0,0,1,1,0,0,0,1,0,0,24,98,0,0,25,15
contig_18674_1,249,0,0,43,1,1,0,6,0,1,0,10,2,2,5,62,0,0,2,10,0,0,0,2,0,0,3,15,0,0,1,8,0,0,8,0,0,1,6,68,0,0,0,0,0,0,0,19,0,0,4,3,0,3,0,15,0,1,3,31,0,0,4,18,0,1,7,15,0,0,2,3,2,0,0,30,0,3,1,1,2,2,0,1,0,0,2,1,0,3,13,112,0,0,0,44,0
contig_18674_1,258,0,47,1,0,0,10,0,0,0,12,0,0,0,64,0,5,0,14,0,0,0,2,0,0,0,15,0,0,0,9,0,0,0,14,0,0,0,69,0,6,0,2,0,0,0,17,0,0,0,9,0,0,1,21,0,0,0,33,0,1,0,16,0,4,0,13,0,7,0,7,0,2,0,29,0,0,0,6,0,0,0,5,0,0,0,4,0,0,0,105,0,13,0,48,0,0
contig_18674_1,262,0,0,0,47,0,2,0,7,0,0,0,12,0,0,0,69,0,0,0,14,0,0,0,2,0,0,0,19,0,1,0,8,0,0,0,14,0,0,0,77,0,0,0,2,0,0,0,18,0,0,0,11,0,0,0,22,0,0,0,34,0,0,0,20,0,0,0,20,0,0,0,14,0,0,0,28,0,1,0,6,0,0,0,5,0,0,0,4,0,1,0,120,0,2,0,46
contig_18674_1,267,18,10,0,19,0,6,0,3,0,12,0,0,0,64,0,2,2,13,0,0,0,2,0,0,2,17,0,0,0,6,0,3,0,16,0,0,1,70,0,4,0,2,0,0,0,18,0,0,0,13,0,0,1,21,0,1,0,34,0,0,0,14,0,7,0,18,0,2,0,12,0,0,1,28,0,0,0,9,0,0,0,7,0,0,0,4,0,0,0,111,0,6,16,19,0,9
contig_18674_1,273,0,0,0,47,0,0,0,9,0,0,0,13,0,3,0,60,0,2,0,14,0,0,0,2,0,2,0,16,0,2,0,9,0,5,0,6,0,4,0,66,0,0,0,0,0,0,0,16,0,6,0,7,0,0,0,20,0,4,0,30,0,2,0,18,0,3,0,14,0,0,0,10,0,0,0,31,0,0,0,8,0,0,0,7,0,2,0,2,0,7,1,106,0,0,0,42
contig_18674_1,276,0,0,35,11,0,0,3,6,0,0,0,13,3,0,0,62,0,0,5,13,0,0,0,2,0,0,4,14,0,2,2,8,0,0,5,6,3,0,1,64,0,0,0,0,0,0,0,16,0,0,6,7,0,0,2,18,0,2,0,35,2,0,2,14,3,0,0,14,0,0,0,12,0,0,1,32,0,0,0,7,0,0,0,7,0,0,2,2,7,0,0,108,0,0,24,18
contig_18674_1,277,0,33,0,11,0,3,0,6,0,1,0,12,0,3,0,62,0,5,0,13,0,0,0,2,0,4,0,14,0,4,0,8,0,5,0,6,0,4,0,64,0,0,0,0,0,0,0,16,0,6,0,7,0,2,0,18,0,2,0,35,0,4,0,14,0,3,0,14,0,1,0,11,0,1,0,31,0,0,0,7,0,0,0,7,0,2,0,2,0,7,0,107,0,24,0,18
contig_18674_1,279,0,0,43,4,0,0,9,0,0,0,13,0,0,0,60,3,0,0,19,0,0,0,2,0,0,0,18,0,0,0,13,0,0,2,9,0,0,0,65,3,0,0,0,0,0,0,16,0,0,2,11,0,0,0,20,0,0,0,37,0,0,0,16,2,0,0,14,3,0,0,12,0,0,0,34,0,0,0,7,0,0,0,7,0,0,1,3,0,0,0,106,7,0,0,42,1
contig_18674_1,282,0,0,0,48,1,0,0,8,0,0,0,13,0,0,0,64,0,2,0,17,0,0,0,2,2,2,0,10,1,0,0,12,2,5,0,4,0,0,0,68,0,0,0,0,0,0,0,16,2,6,0,5,0,0,0,19,0,0,0,37,0,0,0,18,1,0,0,17,4,0,0,8,0,0,0,34,1,0,0,6,2,0,0,5,0,2,0,2,0,0,0,115,0,0,0,43
contig_18674_1,284,0,0,0,47,0,0,0,9,1,0,0,12,3,0,0,61,2,0,0,17,0,0,0,2,2,0,0,12,2,0,0,11,5,0,0,6,3,0,0,67,0,0,0,0,0,0,0,16,6,0,0,7,0,0,0,19,2,0,0,35,2,0,0,16,3,0,0,15,0,0,0,11,0,0,0,34,0,0,0,7,0,0,0,7,2,0,0,2,7,0,0,106,0,0,0,42
contig_18674_1,285,0,3,0,44,0,4,0,6,0,1,0,12,0,3,0,61,0,2,0,17,0,0,0,2,0,3,0,11,0,5,0,8,0,5,0,6,0,4,0,67,0,0,0,0,0,0,0,16,0,6,0,7,0,2,0,18,0,0,0,37,0,3,0,15,0,5,0,13,0,0,0,11,0,0,0,34,0,2,0,5,0,0,0,7,0,2,0,2,0,6,0,107,0,4,0,40
contig_18674_1,294,0,49,0,0,0,13,0,0,0,14,0,0,0,69,1,2,0,24,0,0,0,2,0,0,0,15,0,0,0,11,2,0,0,13,0,0,0,72,0,5,0,1,0,0,0,17,0,0,0,15,0,0,0,25,0,0,0,37,2,0,0,19,0,1,0,21,0,1,0,10,0,0,0,37,0,2,0,18,0,0,0,4,0,0,0,6,0,0,0,114,0,4,0,42,0,0
contig_18674_1,300,0,0,48,1,0,0,13,0,2,0,12,0,12,0,63,0,8,0,16,0,0,0,2,0,4,0,12,0,0,0,13,0,10,0,6,0,9,0,69,0,0,0,1,0,1,0,15,0,12,0,7,0,4,0,21,0,3,0,35,0,3,0,17,0,5,0,15,0,0,0,10,0,4,0,35,0,3,0,17,0,0,0,4,0,4,0,2,0,18,0,103,0,2,0,39,0
contig_18674_1,306,0,0,47,0,0,0,13,0,0,0,13,0,2,0,73,0,0,0,23,0,0,0,2,0,0,0,16,0,0,0,13,0,0,0,20,0,0,0,84,0,0,0,1,0,0,0,16,0,0,0,21,0,0,0,26,0,0,0,38,0,2,0,22,0,2,0,19,0,0,0,10,0,2,0,37,0,0,0,22,0,0,0,4,0,0,0,6,0,4,0,122,0,2,0,39,0
contig_18674_1,309,0,0,47,0,0,1,11,0,0,0,13,1,0,2,64,10,0,0,24,0,0,0,2,0,0,0,16,1,2,0,9,0,0,0,22,0,0,0,73,10,0,0,1,0,0,0,15,1,0,0,21,0,0,3,21,2,0,0,38,2,0,2,20,3,1,3,15,3,0,2,14,0,0,2,36,2,1,3,16,2,0,0,3,0,0,0,6,0,0,5,105,16,0,2,42,0
contig_18674_1,312,0,46,0,1,0,12,0,0,0,14,0,1,0,61,0,15,0,17,0,8,0,2,0,0,0,11,0,4,0,11,0,0,0,8,0,15,0,70,0,14,0,1,0,0,0,15,0,1,0,9,0,12,0,20,0,6,0,33,0,8,0,17,0,9,0,12,0,9,0,12,0,4,0,36,0,4,0,7,0,16,0,3,0,0,0,2,0,4,0,100,0,21,0,41,0,3
contig_18674_1,315,0,46,0,0,0,12,0,0,0,14,0,1,0,67,0,12,0,25,0,0,0,2,0,0,0,14,0,1,0,9,0,1,0,24,0,0,0,79,0,5,0,1,0,0,0,15,0,1,0,20,0,0,0,22,0,4,0,33,1,2,0,20,0,5,0,14,0,5,0,16,0,0,0,34,0,2,0,21,0,3,0,4,0,0,0,6,0,0,0,104,0,17,0,41,0,2
contig_18674_1,321,1,43,0,0,0,12,0,0,0,14,0,1,2,64,0,16,0,24,0,0,0,2,0,0,0,15,0,3,0,9,0,0,0,24,0,0,8,74,0,6,0,1,0,0,0,17,0,3,0,18,0,0,0,21,0,6,0,36,1,6,0,18,0,8,1,12,0,10,0,12,0,2,2,34,0,1,4,8,0,15,0,6,0,0,0,6,0,0,4,103,0,19,1,36,1,0
