,Position,Fa13.BD.MM110.SN.MAG2-A,Fa13.BD.MM110.SN.MAG2-C,Fa13.BD.MM110.SN.MAG2-G,Fa13.BD.MM110.SN.MAG2-T,Su13.BD.MM110.SN.C.MAG2-A,Su13.BD.MM110.SN.C.MAG2-C,Su13.BD.MM110.SN.C.MAG2-G,Su13.BD.MM110.SN.C.MAG2-T,Su13.BD.MM15.DN.MAG2-A,Su13.BD.MM15.DN.MAG2-C,Su13.BD.MM15.DN.MAG2-G,Su13.BD.MM15.DN.MAG2-T,Sp13.BD.MM15.DD.A.MAG2-A,Sp13.BD.MM15.DD.A.MAG2-C,Sp13.BD.MM15.DD.A.MAG2-G,Sp13.BD.MM15.DD.A.MAG2-T,Sp13.BD.MM15.SD.MAG2-A,Sp13.BD.MM15.SD.MAG2-C,Sp13.BD.MM15.SD.MAG2-G,Sp13.BD.MM15.SD.MAG2-T,Fa13.BD.MLB.SN.MAG2-A,Fa13.BD.MLB.SN.MAG2-C,Fa13.BD.MLB.SN.MAG2-G,Fa13.BD.MLB.SN.MAG2-T,Sp13.BD.MM110.DD.MAG2-A,Sp13.BD.MM110.DD.MAG2-C,Sp13.BD.MM110.DD.MAG2-G,Sp13.BD.MM110.DD.MAG2-T,Fa13.BD.MM15.SN.MAG2-A,Fa13.BD.MM15.SN.MAG2-C,Fa13.BD.MM15.SN.MAG2-G,Fa13.BD.MM15.SN.MAG2-T,Fa13.BD.MM15.DN.MAG2-A,Fa13.BD.MM15.DN.MAG2-C,Fa13.BD.MM15.DN.MAG2-G,Fa13.BD.MM15.DN.MAG2-T,Su13.BD.MM15.SN.C.MAG2-A,Su13.BD.MM15.SN.C.MAG2-C,Su13.BD.MM15.SN.C.MAG2-G,Su13.BD.MM15.SN.C.MAG2-T,Su13.BD.MM15.SD.MAG2-A,Su13.BD.MM15.SD.MAG2-C,Su13.BD.MM15.SD.MAG2-G,Su13.BD.MM15.SD.MAG2-T,Su13.BD.MLB.SD.C.MAG2-A,Su13.BD.MLB.SD.C.MAG2-C,Su13.BD.MLB.SD.C.MAG2-G,Su13.BD.MLB.SD.C.MAG2-T,Fa13.BD.MM15.SD.MAG2-A,Fa13.BD.MM15.SD.MAG2-C,Fa13.BD.MM15.SD.MAG2-G,Fa13.BD.MM15.SD.MAG2-T,Su13.BD.MM110.SD.MAG2-A,Su13.BD.MM110.SD.MAG2-C,Su13.BD.MM110.SD.MAG2-G,Su13.BD.MM110.SD.MAG2-T,Sp13.BD.MM110.SD.MAG2-A,Sp13.BD.MM110.SD.MAG2-C,Sp13.BD.MM110.SD.MAG2-G,Sp13.BD.MM110.SD.MAG2-T,Su13.BD.MLB.DD.MAG2-A,Su13.BD.MLB.DD.MAG2-C,Su13.BD.MLB.DD.MAG2-G,Su13.BD.MLB.DD.MAG2-T,Sp13.BD.MM110.SN.MAG2-A,Sp13.BD.MM110.SN.MAG2-C,Sp13.BD.MM110.SN.MAG2-G,Sp13.BD.MM110.SN.MAG2-T,Fa13.BD.MM110.DN.MAG2-A,Fa13.BD.MM110.DN.MAG2-C,Fa13.BD.MM110.DN.MAG2-G,Fa13.BD.MM110.DN.MAG2-T,Fa13.BD.MM110.SD.MAG2-A,Fa13.BD.MM110.SD.MAG2-C,Fa13.BD.MM110.SD.MAG2-G,Fa13.BD.MM110.SD.MAG2-T,Sp13.BD.MLB.SN.MAG2-A,Sp13.BD.MLB.SN.MAG2-C,Sp13.BD.MLB.SN.MAG2-G,Sp13.BD.MLB.SN.MAG2-T,Fa13.BD.MLB.DN.MAG2-A,Fa13.BD.MLB.DN.MAG2-C,Fa13.BD.MLB.DN.MAG2-G,Fa13.BD.MLB.DN.MAG2-T,Sp13.BD.MM15.SN.MAG2-A,Sp13.BD.MM15.SN.MAG2-C,Sp13.BD.MM15.SN.MAG2-G,Sp13.BD.MM15.SN.MAG2-T
contig_18057_68,202,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
contig_18057_68,207,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
contig_18057_68,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
contig_18057_68,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
contig_18057_68,217,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
contig_18057_68,219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
contig_18057_68,228,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
contig_18057_68,237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0
contig_18057_68,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0
contig_18057_68,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0
contig_18057_68,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0
contig_18057_68,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0
contig_18057_68,263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
contig_18057_68,267,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0
contig_18057_68,268,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0
contig_18057_68,270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0
contig_18057_68,273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0
contig_18057_68,276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1
contig_18057_68,282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0
contig_18057_68,288,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,15,0,1,0,0,0,0,0,0,0,2,0,4,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0
contig_18057_68,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,18,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0
contig_18057_68,294,2,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,3,0,17,0,1,0,0,0,0,0,2,0,2,0,4,0,1,0,3,0,1,0,0,0,0,0,4,0,0,0,4,0,4,0,3,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,2,0,3,0,2,0,1,0,16,0,0,0,9,0,0,0,7,0,0,0
contig_18057_68,297,0,0,1,2,0,0,0,0,0,2,0,0,2,0,4,0,3,0,12,0,0,0,18,0,0,0,2,0,0,0,2,2,0,0,7,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,6,2,0,3,2,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,3,2,0,0,3,2,16,0,0,0,0,0,12,0,6,0,15,0
contig_18057_68,300,2,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,13,0,2,0,18,0,0,0,2,0,0,0,2,0,2,0,6,0,1,0,4,0,2,0,0,0,0,0,4,0,0,0,5,0,5,0,4,0,0,1,4,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,5,0,0,0,16,0,0,0,12,0,0,0,21,0,0,0
contig_18057_68,303,2,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,14,3,0,0,16,0,0,1,2,0,0,0,2,2,0,0,6,1,0,0,3,3,0,0,0,0,0,0,4,0,0,0,4,6,0,0,4,0,1,0,4,0,0,0,5,0,0,0,4,1,0,0,2,4,0,0,4,1,0,0,16,0,0,0,13,0,0,0,21,0,0,0
contig_18057_68,306,2,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,12,0,5,0,14,0,1,0,2,0,0,0,2,0,3,0,6,0,1,0,4,0,2,0,0,0,0,0,4,0,0,0,5,0,5,0,4,0,1,0,4,0,0,0,5,0,0,0,5,0,0,0,6,0,0,0,5,0,0,0,16,0,0,0,13,0,0,0,21,0,0,0
contig_18057_68,318,0,6,0,0,0,3,0,0,0,0,0,0,1,3,0,0,1,6,0,0,1,16,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,2,5,0,0,9,6,4,0,0,9,0,0,4,2,0,0
contig_18057_68,322,0,6,0,0,0,4,0,0,0,0,0,0,0,3,0,1,0,6,0,1,0,17,0,0,0,4,0,0,0,8,0,0,0,7,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,4,0,0,0,7,0,0,0,8,0,10,0,9,0,0,0,2,0,4
contig_18057_68,324,0,0,6,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,7,1,0,0,17,0,0,0,4,0,0,0,8,0,0,0,7,0,0,0,3,1,0,0,3,0,0,0,0,0,0,0,9,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,4,0,2,4,1,0,0,20,0,0,0,9,0,0,0,5,0
contig_18057_68,327,6,0,0,0,4,0,0,0,3,0,0,0,7,0,1,0,10,0,2,0,17,0,0,0,11,0,0,0,11,0,0,0,9,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,10,0,0,0,4,0,0,0,7,0,0,0,7,0,0,0,7,0,0,0,8,0,13,0,9,0,0,0,4,0,2,0
