,Position,Fa13.BD.MLB.DN.MAG5-A,Fa13.BD.MLB.DN.MAG5-C,Fa13.BD.MLB.DN.MAG5-G,Fa13.BD.MLB.DN.MAG5-T,Fa13.BD.MLB.SN.MAG5-A,Fa13.BD.MLB.SN.MAG5-C,Fa13.BD.MLB.SN.MAG5-G,Fa13.BD.MLB.SN.MAG5-T,Sp13.BD.MM15.SD.MAG5-A,Sp13.BD.MM15.SD.MAG5-C,Sp13.BD.MM15.SD.MAG5-G,Sp13.BD.MM15.SD.MAG5-T,Su13.BD.MM15.SN.C.MAG5-A,Su13.BD.MM15.SN.C.MAG5-C,Su13.BD.MM15.SN.C.MAG5-G,Su13.BD.MM15.SN.C.MAG5-T,Fa13.BD.MM15.DN.MAG5-A,Fa13.BD.MM15.DN.MAG5-C,Fa13.BD.MM15.DN.MAG5-G,Fa13.BD.MM15.DN.MAG5-T,Fa13.BD.MM110.SN.MAG5-A,Fa13.BD.MM110.SN.MAG5-C,Fa13.BD.MM110.SN.MAG5-G,Fa13.BD.MM110.SN.MAG5-T,Su13.BD.MM110.SD.MAG5-A,Su13.BD.MM110.SD.MAG5-C,Su13.BD.MM110.SD.MAG5-G,Su13.BD.MM110.SD.MAG5-T,Su13.BD.MM110.SN.C.MAG5-A,Su13.BD.MM110.SN.C.MAG5-C,Su13.BD.MM110.SN.C.MAG5-G,Su13.BD.MM110.SN.C.MAG5-T,Su13.BD.MM15.DN.MAG5-A,Su13.BD.MM15.DN.MAG5-C,Su13.BD.MM15.DN.MAG5-G,Su13.BD.MM15.DN.MAG5-T,Sp13.BD.MLB.SN.MAG5-A,Sp13.BD.MLB.SN.MAG5-C,Sp13.BD.MLB.SN.MAG5-G,Sp13.BD.MLB.SN.MAG5-T,Sp13.BD.MM15.SN.MAG5-A,Sp13.BD.MM15.SN.MAG5-C,Sp13.BD.MM15.SN.MAG5-G,Sp13.BD.MM15.SN.MAG5-T,Fa13.BD.MM110.DN.MAG5-A,Fa13.BD.MM110.DN.MAG5-C,Fa13.BD.MM110.DN.MAG5-G,Fa13.BD.MM110.DN.MAG5-T,Fa13.BD.MM15.SN.MAG5-A,Fa13.BD.MM15.SN.MAG5-C,Fa13.BD.MM15.SN.MAG5-G,Fa13.BD.MM15.SN.MAG5-T,Sp13.BD.MM110.SD.MAG5-A,Sp13.BD.MM110.SD.MAG5-C,Sp13.BD.MM110.SD.MAG5-G,Sp13.BD.MM110.SD.MAG5-T,Fa13.BD.MM15.SD.MAG5-A,Fa13.BD.MM15.SD.MAG5-C,Fa13.BD.MM15.SD.MAG5-G,Fa13.BD.MM15.SD.MAG5-T,Su13.BD.MLB.SD.C.MAG5-A,Su13.BD.MLB.SD.C.MAG5-C,Su13.BD.MLB.SD.C.MAG5-G,Su13.BD.MLB.SD.C.MAG5-T,Sp13.BD.MM110.DD.MAG5-A,Sp13.BD.MM110.DD.MAG5-C,Sp13.BD.MM110.DD.MAG5-G,Sp13.BD.MM110.DD.MAG5-T,Su13.BD.MM110.DCMD.MAG5-A,Su13.BD.MM110.DCMD.MAG5-C,Su13.BD.MM110.DCMD.MAG5-G,Su13.BD.MM110.DCMD.MAG5-T,Sp13.BD.MM110.SN.MAG5-A,Sp13.BD.MM110.SN.MAG5-C,Sp13.BD.MM110.SN.MAG5-G,Sp13.BD.MM110.SN.MAG5-T,Su13.BD.MM15.SD.MAG5-A,Su13.BD.MM15.SD.MAG5-C,Su13.BD.MM15.SD.MAG5-G,Su13.BD.MM15.SD.MAG5-T,Sp13.BD.MM15.DD.A.MAG5-A,Sp13.BD.MM15.DD.A.MAG5-C,Sp13.BD.MM15.DD.A.MAG5-G,Sp13.BD.MM15.DD.A.MAG5-T,Fa13.BD.MM110.SD.MAG5-A,Fa13.BD.MM110.SD.MAG5-C,Fa13.BD.MM110.SD.MAG5-G,Fa13.BD.MM110.SD.MAG5-T,Su13.BD.MLB.DD.MAG5-A,Su13.BD.MLB.DD.MAG5-C,Su13.BD.MLB.DD.MAG5-G,Su13.BD.MLB.DD.MAG5-T
contig_19336_2,163,0,0,0,5,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,7,0,6,0,0,0,2,0,2,0,4,0,5,0,0,0,8,0,0,0,4,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,19,0,4,0,0,0,6,0,0,0,0,0,16,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,5,0,0,0,2,0,4,0,0
contig_19336_2,169,0,5,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,7,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,19,0,0,0,0,0,4,0,0,0,1,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,2
contig_19336_2,170,0,0,5,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,18,0,0,0,0,4,0,0,0,1,0,0,16,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1
contig_19336_2,183,0,0,0,3,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
contig_19336_2,186,0,0,0,4,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,5,0,0,0,1,0,0,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
contig_19336_2,189,0,0,0,4,0,0,0,8,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,5,0,1,0,0,0,0,0,3,0,1,0,17,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
contig_19336_2,201,0,0,0,4,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,2,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,9,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2
contig_19336_2,216,0,0,8,0,0,0,10,0,2,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0
contig_19336_2,219,0,8,0,0,0,10,0,0,0,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0,0
contig_19336_2,220,0,0,8,0,0,0,10,0,0,0,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,6,0
contig_19336_2,222,3,2,0,1,7,1,0,0,0,2,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,13,0,0,0,0,0,0,0,0,5,2,0,9,0,0,0,0,0,3,0,8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2
contig_19336_2,228,0,0,0,6,0,0,0,7,0,2,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
contig_19336_2,264,2,0,2,0,1,0,5,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,2,0,0,0,2,0,1,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
contig_19439_3,0,9,0,0,0,13,0,0,0,1,0,0,0,6,0,0,0,11,0,0,0,0,0,0,0,12,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,3,0,0,0,22,0,0,0,2,0,0,0,7,0,0,0,12,2,0,0,4,0,0,0,3,4,0,0,2,0,0,0,3,0,0,0,1,0,0,0,8,0,0,0
contig_19439_3,24,0,0,0,12,0,0,0,10,0,0,0,1,0,2,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,22,0,1,0,2,0,4,0,6,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
contig_19439_3,36,0,4,0,7,0,6,0,4,0,0,0,1,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,19,0,0,0,3,0,9,0,0,0,2,0,12,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0
contig_19439_3,48,0,2,0,7,0,6,0,4,0,0,0,1,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,1,0,6,0,13,0,1,0,1,0,10,0,0,0,5,0,10,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1
contig_19439_3,53,1,0,0,9,0,0,0,10,0,0,0,1,3,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,19,0,0,0,5,6,0,0,3,0,0,0,14,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
contig_19439_3,60,0,11,0,2,0,10,0,0,0,1,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0,0,0,19,0,0,0,4,0,0,0,3,0,6,0,11,0,3,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1
contig_19439_3,61,2,0,11,0,5,0,5,0,0,0,1,0,2,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,19,0,0,0,4,0,3,0,6,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0
contig_19439_3,66,9,0,4,0,4,0,4,0,0,0,1,0,0,0,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,6,0,14,0,0,0,4,0,4,0,4,0,7,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0
contig_19439_3,69,2,11,1,0,1,7,0,0,0,1,0,0,0,7,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,1,0,0,2,0,0,0,1,1,0,0,6,14,0,0,0,4,0,0,0,8,0,0,7,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0
contig_19439_3,70,0,0,2,13,0,0,3,5,0,0,0,1,0,0,2,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,1,0,0,0,3,0,0,1,1,0,0,0,20,0,0,0,4,0,0,2,6,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,1
contig_19439_3,75,4,0,12,0,0,0,9,0,0,0,1,0,0,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,20,0,0,0,4,0,1,0,8,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0
contig_19439_3,87,0,0,15,0,0,1,7,0,0,0,0,0,0,2,5,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,25,0,0,0,4,0,0,1,11,0,0,0,17,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,5,0,0,0,0,0,0,2,3,0
contig_19439_3,94,0,0,17,0,0,1,8,0,0,0,0,0,0,2,8,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,5,0,0,1,6,0,0,0,31,0,0,0,6,0,0,1,12,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,4,0,0,2,3,0
contig_19439_3,96,14,0,3,0,7,0,2,0,0,0,0,0,10,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6,0,1,0,0,0,0,0,2,0,3,0,7,0,0,0,31,0,0,0,2,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,5,0,0,0
contig_19439_3,97,0,0,17,0,1,0,8,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,6,1,0,0,0,0,0,0,5,0,0,0,7,0,0,0,31,0,0,0,2,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,5,0
contig_19439_3,98,0,0,17,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,16,0,0,1,6,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,30,0,0,0,2,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,5,0
contig_19439_3,99,0,17,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,7,0,0,0,0,0,0,0,3,0,2,0,7,0,0,0,30,0,0,0,2,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,5,0,0
contig_19439_3,105,1,0,16,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,6,0,0,0,0,0,3,0,2,0,0,0,7,0,0,0,27,1,0,0,2,0,0,0,13,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,7,0,0,0,4,0,0,0,5,0
contig_19439_3,108,15,0,2,0,10,0,1,0,0,0,0,0,6,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,1,0,0,0,0,0,5,0,0,0,2,0,1,0,20,0,0,0,0,0,0,0,10,0,1,0,18,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,2,0
contig_19439_3,111,4,12,1,0,2,9,0,0,0,0,0,0,1,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,0,2,3,0,1,2,0,0,0,21,0,0,0,0,0,0,2,9,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,4,0,1,0,0,0,0,2,1,0,0
contig_19439_3,112,1,0,16,0,0,0,10,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,2,0,0,0,0,0,3,0,2,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,3,0
contig_19439_3,121,1,16,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,1,0,0,3,2,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,4,0,0
contig_19439_3,129,0,9,0,5,0,4,0,3,0,0,0,0,0,4,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,1,0,2,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,22,0,0,0,0,0,3,0,7,0,1,0,15,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,5,0,0,0,1,0,1,0,2
contig_19439_3,132,0,10,0,4,0,5,0,1,0,0,0,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,2,0,1,0,0,0,3,0,3,0,2,0,0,0,22,0,0,0,0,0,0,0,6,0,4,0,15,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,9,0,0,0,1,0,0,0,3,0,0
contig_19439_3,135,0,4,0,9,0,1,0,5,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,22,0,0,0,0,0,1,0,9,0,0,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,3
contig_19439_3,138,0,6,5,2,0,5,1,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,1,0,0,1,0,0,0,6,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,9,1,0,0,13,0,1,0,2,0,0,0,4,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,1
contig_19439_3,139,0,5,0,8,0,2,0,4,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,1,0,0,0,6,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,10,0,0,0,13,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,0,0,2
contig_19439_3,141,0,4,9,0,0,1,4,1,0,0,0,0,2,0,0,2,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,2,0,0,0,3,0,0,1,5,0,0,0,15,0,0,0,21,0,0,0,12,0,4,0,6,0,0,2,13,0,0,0,2,0,0,1,4,0,0,0,0,0,0,3,5,0,0,0,5,0,0,2,0
