,Position,Su13.BD.MM15.DN.MAG10-A,Su13.BD.MM15.DN.MAG10-C,Su13.BD.MM15.DN.MAG10-G,Su13.BD.MM15.DN.MAG10-T,Su13.BD.MLB.DD.MAG10-A,Su13.BD.MLB.DD.MAG10-C,Su13.BD.MLB.DD.MAG10-G,Su13.BD.MLB.DD.MAG10-T,Sp13.BD.MM110.DD.MAG10-A,Sp13.BD.MM110.DD.MAG10-C,Sp13.BD.MM110.DD.MAG10-G,Sp13.BD.MM110.DD.MAG10-T,Fa13.BD.MM110.DN.MAG10-A,Fa13.BD.MM110.DN.MAG10-C,Fa13.BD.MM110.DN.MAG10-G,Fa13.BD.MM110.DN.MAG10-T,Sp13.BD.MLB.SN.MAG10-A,Sp13.BD.MLB.SN.MAG10-C,Sp13.BD.MLB.SN.MAG10-G,Sp13.BD.MLB.SN.MAG10-T,Fa13.BD.MLB.DN.MAG10-A,Fa13.BD.MLB.DN.MAG10-C,Fa13.BD.MLB.DN.MAG10-G,Fa13.BD.MLB.DN.MAG10-T,Fa13.BD.MM110.SN.MAG10-A,Fa13.BD.MM110.SN.MAG10-C,Fa13.BD.MM110.SN.MAG10-G,Fa13.BD.MM110.SN.MAG10-T,Sp13.BD.MM15.SN.MAG10-A,Sp13.BD.MM15.SN.MAG10-C,Sp13.BD.MM15.SN.MAG10-G,Sp13.BD.MM15.SN.MAG10-T,Fa13.BD.MM15.SD.MAG10-A,Fa13.BD.MM15.SD.MAG10-C,Fa13.BD.MM15.SD.MAG10-G,Fa13.BD.MM15.SD.MAG10-T,Fa13.BD.MM15.DN.MAG10-A,Fa13.BD.MM15.DN.MAG10-C,Fa13.BD.MM15.DN.MAG10-G,Fa13.BD.MM15.DN.MAG10-T,Su13.BD.MM110.DCMD.MAG10-A,Su13.BD.MM110.DCMD.MAG10-C,Su13.BD.MM110.DCMD.MAG10-G,Su13.BD.MM110.DCMD.MAG10-T,Sp13.BD.MM15.SD.MAG10-A,Sp13.BD.MM15.SD.MAG10-C,Sp13.BD.MM15.SD.MAG10-G,Sp13.BD.MM15.SD.MAG10-T,Sp13.BD.MM15.DD.A.MAG10-A,Sp13.BD.MM15.DD.A.MAG10-C,Sp13.BD.MM15.DD.A.MAG10-G,Sp13.BD.MM15.DD.A.MAG10-T,Sp13.BD.MM110.SN.MAG10-A,Sp13.BD.MM110.SN.MAG10-C,Sp13.BD.MM110.SN.MAG10-G,Sp13.BD.MM110.SN.MAG10-T,Fa13.BD.MM15.SN.MAG10-A,Fa13.BD.MM15.SN.MAG10-C,Fa13.BD.MM15.SN.MAG10-G,Fa13.BD.MM15.SN.MAG10-T,Fa13.BD.MM110.SD.MAG10-A,Fa13.BD.MM110.SD.MAG10-C,Fa13.BD.MM110.SD.MAG10-G,Fa13.BD.MM110.SD.MAG10-T,Su13.BD.MM110.SN.C.MAG10-A,Su13.BD.MM110.SN.C.MAG10-C,Su13.BD.MM110.SN.C.MAG10-G,Su13.BD.MM110.SN.C.MAG10-T,Su13.BD.MM15.SN.C.MAG10-A,Su13.BD.MM15.SN.C.MAG10-C,Su13.BD.MM15.SN.C.MAG10-G,Su13.BD.MM15.SN.C.MAG10-T,Su13.BD.MLB.SD.C.MAG10-A,Su13.BD.MLB.SD.C.MAG10-C,Su13.BD.MLB.SD.C.MAG10-G,Su13.BD.MLB.SD.C.MAG10-T,Su13.BD.MM110.SD.MAG10-A,Su13.BD.MM110.SD.MAG10-C,Su13.BD.MM110.SD.MAG10-G,Su13.BD.MM110.SD.MAG10-T,Fa13.BD.MLB.SN.MAG10-A,Fa13.BD.MLB.SN.MAG10-C,Fa13.BD.MLB.SN.MAG10-G,Fa13.BD.MLB.SN.MAG10-T,Su13.BD.MM15.SD.MAG10-A,Su13.BD.MM15.SD.MAG10-C,Su13.BD.MM15.SD.MAG10-G,Su13.BD.MM15.SD.MAG10-T,Sp13.BD.MM110.SD.MAG10-A,Sp13.BD.MM110.SD.MAG10-C,Sp13.BD.MM110.SD.MAG10-G,Sp13.BD.MM110.SD.MAG10-T
contig_21315_3,10,0,16,0,0,0,2,0,0,0,18,0,0,0,20,0,0,0,8,0,0,0,18,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,14,0,0,0,5,0,0,0,6,0,0,0,1,0,0,0,19,0,0,0,10,0,0,0,15,0,0,0,11,0,0,0,15,0,1,0,1,0,0,0,13,0,0,0,15,0,0,0,7,0,0,0,23,0,0
contig_21315_3,11,0,0,0,18,0,0,0,2,0,0,0,17,0,0,0,20,0,0,0,8,0,0,0,19,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,18,0,0,0,5,0,0,0,6,0,0,0,1,0,0,0,19,0,0,0,15,0,0,0,15,0,0,0,13,0,0,0,16,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,13,0,0,0,24
contig_21315_3,12,0,0,0,18,0,0,0,2,0,0,0,16,0,0,0,20,0,0,0,8,0,0,0,19,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,18,0,0,0,5,0,0,0,7,0,0,0,1,0,0,0,19,0,0,0,15,0,0,0,15,0,0,0,13,0,0,0,16,0,0,0,1,0,0,0,13,0,0,0,16,0,0,0,13,0,0,0,24
contig_21315_3,13,0,0,18,0,0,0,2,0,0,0,16,0,0,0,18,0,0,0,8,0,0,0,19,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,18,0,0,0,5,0,0,0,7,0,0,0,1,0,0,0,19,0,0,1,14,0,0,0,15,0,0,0,13,0,0,0,16,0,0,0,1,0,0,0,13,0,0,0,15,0,0,0,13,0,0,0,23,0
contig_21315_3,14,0,0,20,0,0,0,2,0,0,0,16,0,0,0,18,0,0,0,9,0,0,0,19,0,0,0,8,0,0,0,6,0,0,0,8,0,0,0,18,0,0,0,5,0,0,0,7,0,0,0,1,0,0,0,19,0,0,0,15,0,0,0,15,0,0,0,14,0,0,0,16,0,0,0,1,0,0,0,13,0,0,0,18,0,0,0,13,0,0,0,23,0
contig_21315_3,15,0,0,20,0,0,0,2,0,0,0,16,0,0,0,18,0,0,0,9,0,0,0,19,0,0,0,8,0,0,0,6,0,0,0,8,0,0,0,18,0,0,0,5,0,0,0,7,0,0,0,1,0,0,0,19,0,0,0,15,0,0,0,15,0,0,0,14,0,0,0,16,0,0,0,1,0,0,0,13,0,0,0,18,0,0,0,13,0,0,0,23,0
contig_21315_3,16,0,20,0,0,0,1,1,0,0,8,0,9,0,5,0,13,0,7,0,2,0,10,4,5,0,8,0,0,0,6,0,0,0,8,0,0,0,16,0,2,0,5,0,0,0,7,0,0,0,0,0,1,0,8,0,12,0,15,0,0,0,15,0,0,0,15,1,0,0,15,0,1,0,1,0,0,0,13,0,0,0,7,2,9,0,12,0,1,0,12,0,11
contig_21315_3,17,0,20,0,0,0,3,0,0,0,17,0,0,0,18,0,0,0,9,0,0,0,18,0,0,0,10,0,0,0,6,0,0,0,8,0,0,0,20,0,0,0,5,0,0,0,9,0,0,0,2,0,0,0,21,0,0,0,14,0,0,0,15,0,0,0,17,0,0,0,16,0,0,0,2,0,0,0,13,0,0,0,21,0,0,0,13,0,0,0,23,0,0
contig_21315_3,18,0,0,20,0,0,0,3,0,0,0,18,0,0,0,18,0,0,0,9,0,0,0,18,0,0,0,10,0,0,0,6,0,0,0,8,0,0,0,21,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,22,0,0,0,14,0,0,0,15,0,0,0,17,0,0,0,16,0,0,0,2,0,0,0,13,0,0,0,21,0,0,0,13,0,0,0,23,0
contig_21315_3,19,0,20,0,0,0,3,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,18,0,0,0,10,0,0,0,6,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,22,0,0,0,14,0,0,0,15,0,0,0,17,0,0,0,16,0,0,0,2,0,0,0,12,0,0,0,21,0,0,0,13,0,0,0,24,0,0
contig_21315_3,20,0,0,0,20,0,0,0,6,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,22,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,22,0,0,0,14,0,0,0,15,0,0,0,17,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,26,0,0,0,13,0,0,0,24
contig_21315_3,21,0,0,0,20,0,0,0,6,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,14,0,0,0,15,0,0,0,17,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,26,0,0,0,13,0,0,0,23
contig_21315_3,22,0,2,18,0,0,0,6,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,10,0,1,0,2,0,0,0,23,0,0,0,14,0,0,0,15,0,1,0,15,0,0,0,17,0,0,0,6,0,0,0,12,0,0,1,25,0,0,0,13,0,0,0,23,0
contig_21315_3,23,0,0,20,0,0,0,6,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,26,0,0,0,13,0,0,0,24,0
contig_21315_3,24,0,20,0,0,0,6,0,0,0,18,0,0,0,18,0,0,0,12,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,11,0,0,0,3,0,0,0,23,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,28,0,0,0,13,0,0,0,24,0,0
contig_21315_3,25,2,2,16,0,1,0,5,0,10,0,8,0,13,0,5,0,2,0,10,0,11,0,13,0,0,0,10,0,0,0,7,0,0,0,7,0,2,0,19,0,0,0,5,0,0,0,11,0,1,0,2,0,14,0,10,0,0,0,14,0,0,0,15,0,0,0,16,0,2,0,14,0,2,0,4,0,0,0,12,0,21,0,8,0,1,0,12,0,13,0,11,0
contig_21315_3,26,0,20,0,0,0,6,0,0,0,18,0,0,0,19,0,0,0,10,0,0,0,24,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,11,0,0,0,3,0,0,0,24,0,0,0,15,0,0,0,15,0,0,0,16,0,0,0,16,0,0,0,6,0,0,0,12,0,0,0,29,0,0,0,13,0,0,0,24,0,0
contig_21315_3,27,0,18,0,0,0,6,0,0,0,18,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,11,0,0,0,3,0,0,0,23,0,0,0,15,0,0,0,14,0,0,0,16,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,29,0,0,0,13,0,0,0,25,0,0
contig_21315_3,28,0,0,18,0,0,0,6,0,0,0,17,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,11,0,1,0,2,0,0,0,24,0,0,0,15,0,0,0,13,0,1,0,15,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,30,0,0,0,13,0,0,0,25,0
contig_21315_3,29,0,0,0,18,0,0,0,6,0,0,0,17,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,21,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,24,0,0,0,15,0,0,0,13,0,0,0,16,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,30,0,0,0,13,0,0,0,25
contig_21315_3,30,18,0,0,0,6,0,0,0,17,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,7,0,0,0,7,0,0,0,17,0,0,0,5,0,0,0,10,0,0,0,3,0,0,0,24,0,0,0,11,0,0,0,13,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,30,0,0,0,7,0,0,0,25,0,0,0
contig_21315_3,31,0,8,0,10,0,1,0,5,0,0,0,17,0,0,0,20,0,3,0,7,0,0,0,23,0,2,0,8,0,2,0,4,0,0,0,7,0,0,0,15,0,0,0,2,0,3,0,7,0,1,0,2,0,0,0,24,0,1,0,10,0,0,0,11,0,0,0,15,0,1,0,16,0,0,0,6,0,0,0,12,0,1,0,29,0,0,0,7,0,0,0,25
contig_21315_3,32,0,0,0,17,0,0,0,6,0,0,0,17,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,5,0,0,0,7,0,0,0,15,0,0,0,2,0,0,0,10,0,0,0,3,0,0,0,24,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,31,0,0,0,7,0,0,0,25
contig_21315_3,33,0,0,0,17,0,0,0,5,0,0,0,17,0,0,0,20,0,0,0,10,0,0,0,23,0,0,0,10,0,0,0,5,0,0,0,7,0,0,0,15,0,0,0,2,0,0,0,10,0,0,0,3,0,0,0,24,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,12,0,0,0,33,0,0,0,7,0,0,0,25
contig_21315_3,34,0,17,0,0,0,4,1,0,3,14,1,0,5,15,0,0,0,9,0,0,1,16,6,0,0,10,0,0,0,5,0,0,0,5,2,0,0,15,0,0,0,2,0,0,0,7,3,0,1,2,0,0,6,17,0,0,0,11,0,0,0,11,0,0,1,11,2,0,0,16,1,0,1,4,1,0,0,12,0,0,5,22,6,0,0,7,0,0,3,20,1,0
contig_21315_3,35,0,0,17,0,0,0,5,0,0,0,18,0,0,0,20,0,0,0,9,0,0,0,22,0,0,0,10,0,0,0,5,0,0,0,7,0,0,0,15,0,0,0,2,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,18,0,0,0,6,0,0,0,12,0,0,0,35,0,0,0,7,0,0,0,24,0
contig_21315_3,36,17,0,0,0,5,0,0,0,17,0,0,0,20,0,0,0,9,0,0,0,22,0,0,0,10,0,0,0,5,0,0,0,7,0,0,0,15,0,0,0,2,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,18,0,0,0,6,0,0,0,11,0,0,0,37,0,0,0,7,0,0,0,26,0,0,0
contig_21315_3,37,0,4,13,0,0,0,5,0,0,0,17,0,0,0,20,0,0,1,8,0,0,0,20,0,2,0,8,0,2,1,2,0,0,0,8,0,0,0,16,0,0,0,2,0,0,3,4,0,1,0,2,0,0,0,23,0,0,0,11,0,0,0,11,0,1,0,13,0,0,2,17,0,0,0,6,0,0,0,11,0,0,0,37,0,0,0,7,0,0,0,26,0
contig_21315_3,38,0,17,0,0,0,5,0,0,0,17,0,0,0,20,0,0,0,9,0,0,0,20,0,0,0,10,0,0,0,5,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,22,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,18,0,0,0,6,0,0,0,11,0,0,0,37,0,0,0,7,0,0,0,26,0,0
contig_21315_3,39,0,0,17,0,0,0,5,0,0,0,17,0,0,0,21,0,0,0,9,0,0,0,20,0,0,0,10,0,0,0,5,0,0,0,8,0,0,0,15,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,22,0,0,0,11,0,0,0,11,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,11,0,0,0,37,0,0,0,7,0,0,0,26,0
contig_21315_3,40,0,17,0,0,0,4,0,0,0,14,0,3,0,20,0,0,0,7,2,0,0,11,3,6,0,6,2,0,2,2,0,0,0,6,0,2,0,13,0,0,0,2,0,0,0,4,0,3,0,3,0,0,0,21,0,1,0,10,1,0,0,9,0,0,0,14,0,0,0,16,0,1,1,4,0,1,0,11,0,0,0,29,0,7,0,7,0,0,0,25,0,1
contig_21315_3,41,0,0,17,0,0,0,4,0,0,0,17,0,0,0,20,0,0,2,5,0,0,0,20,0,0,2,6,0,0,2,2,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,22,0,0,0,11,0,0,1,8,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,11,0,0,0,35,0,0,0,7,0,0,0,26,0
contig_21315_3,42,17,0,0,0,4,0,0,0,16,0,0,0,19,0,0,0,5,0,0,2,20,0,0,0,6,0,0,2,2,0,2,0,8,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,22,0,0,0,11,0,0,0,9,0,0,0,14,0,0,0,17,0,0,0,5,1,0,0,11,0,0,0,33,2,0,0,7,0,0,0,26,0,0,0
contig_21315_3,43,0,17,0,0,0,4,0,0,0,16,0,0,0,19,0,0,0,7,0,0,0,17,0,3,0,8,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,2,0,1,0,22,0,0,0,11,0,0,0,9,0,0,0,13,0,1,0,17,0,0,0,6,0,0,0,11,0,0,0,35,0,0,0,7,0,0,0,26,0,0
contig_21315_3,44,0,0,0,17,0,0,0,4,0,0,0,17,0,0,0,19,0,0,0,7,0,0,0,19,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,22,0,0,0,11,0,0,0,9,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,11,0,0,0,35,0,0,0,7,0,0,0,26
contig_21315_3,45,0,0,17,0,0,0,4,0,0,0,17,0,0,0,19,0,0,0,7,0,0,0,19,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,23,0,0,0,11,0,0,0,9,0,0,0,14,0,0,0,17,0,0,0,6,0,0,0,11,0,0,0,35,0,0,0,7,0,0,0,25,0
contig_21315_3,46,0,13,4,0,0,1,0,3,0,17,0,0,0,18,0,0,0,6,1,0,0,13,0,5,0,8,0,0,0,4,0,0,0,8,0,0,0,12,0,1,0,2,0,0,0,4,2,0,0,3,0,0,0,21,0,0,0,11,0,0,0,9,0,0,0,13,0,0,0,15,1,1,0,3,0,3,0,10,0,0,0,31,0,4,0,7,0,0,0,24,1,0
contig_21315_3,47,0,4,0,12,0,0,0,4,0,0,0,17,0,0,0,18,0,1,0,6,0,0,0,18,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,2,0,4,0,0,0,3,0,0,0,21,0,0,0,11,0,0,0,9,0,0,0,13,0,1,0,16,0,0,0,6,0,0,0,10,0,0,0,35,0,0,0,7,0,0,0,26
contig_21315_3,48,0,0,4,12,0,0,0,4,0,0,0,17,0,0,0,18,0,0,1,6,0,0,0,18,0,0,0,8,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,0,2,4,0,0,0,3,0,0,0,21,0,0,0,11,0,0,0,9,0,0,0,13,0,0,1,16,0,0,0,6,0,0,0,10,0,0,0,35,0,0,0,7,0,0,0,27
contig_21315_3,49,4,0,12,0,0,0,4,0,0,0,17,0,0,0,20,0,1,0,7,0,0,0,17,0,0,0,7,0,0,0,4,0,0,0,8,0,0,0,12,0,0,0,2,0,2,0,4,0,0,0,3,0,0,0,21,0,0,1,10,0,0,0,9,0,2,0,11,0,1,0,16,0,1,0,5,0,0,0,9,0,2,0,33,0,0,0,7,0,0,0,27,0
contig_21315_3,50,0,16,0,0,0,4,0,0,0,17,0,0,0,20,0,0,0,8,0,0,0,18,0,0,0,7,0,0,0,4,0,0,0,8,0,0,0,13,0,0,0,2,0,0,0,6,0,0,0,3,0,0,0,21,0,0,0,11,0,0,0,9,0,0,0,13,0,0,0,17,0,0,0,6,0,0,0,9,0,0,0,35,0,0,0,8,0,0,0,28,0,0
