,Position,Sp13.BD.MM110.DD.MAG3-A,Sp13.BD.MM110.DD.MAG3-C,Sp13.BD.MM110.DD.MAG3-G,Sp13.BD.MM110.DD.MAG3-T,Su13.BD.MM110.SD.MAG3-A,Su13.BD.MM110.SD.MAG3-C,Su13.BD.MM110.SD.MAG3-G,Su13.BD.MM110.SD.MAG3-T,Fa13.BD.MM110.DN.MAG3-A,Fa13.BD.MM110.DN.MAG3-C,Fa13.BD.MM110.DN.MAG3-G,Fa13.BD.MM110.DN.MAG3-T,Sp13.BD.MM110.SN.MAG3-A,Sp13.BD.MM110.SN.MAG3-C,Sp13.BD.MM110.SN.MAG3-G,Sp13.BD.MM110.SN.MAG3-T,Sp13.BD.MM110.SD.MAG3-A,Sp13.BD.MM110.SD.MAG3-C,Sp13.BD.MM110.SD.MAG3-G,Sp13.BD.MM110.SD.MAG3-T,Fa13.BD.MLB.DN.MAG3-A,Fa13.BD.MLB.DN.MAG3-C,Fa13.BD.MLB.DN.MAG3-G,Fa13.BD.MLB.DN.MAG3-T,Sp13.BD.MM15.SN.MAG3-A,Sp13.BD.MM15.SN.MAG3-C,Sp13.BD.MM15.SN.MAG3-G,Sp13.BD.MM15.SN.MAG3-T,Fa13.BD.MM110.SN.MAG3-A,Fa13.BD.MM110.SN.MAG3-C,Fa13.BD.MM110.SN.MAG3-G,Fa13.BD.MM110.SN.MAG3-T,Su13.BD.MM15.DN.MAG3-A,Su13.BD.MM15.DN.MAG3-C,Su13.BD.MM15.DN.MAG3-G,Su13.BD.MM15.DN.MAG3-T,Fa13.BD.MM15.SN.MAG3-A,Fa13.BD.MM15.SN.MAG3-C,Fa13.BD.MM15.SN.MAG3-G,Fa13.BD.MM15.SN.MAG3-T,Su13.BD.MM110.SN.C.MAG3-A,Su13.BD.MM110.SN.C.MAG3-C,Su13.BD.MM110.SN.C.MAG3-G,Su13.BD.MM110.SN.C.MAG3-T,Fa13.BD.MLB.SN.MAG3-A,Fa13.BD.MLB.SN.MAG3-C,Fa13.BD.MLB.SN.MAG3-G,Fa13.BD.MLB.SN.MAG3-T,Su13.BD.MLB.DD.MAG3-A,Su13.BD.MLB.DD.MAG3-C,Su13.BD.MLB.DD.MAG3-G,Su13.BD.MLB.DD.MAG3-T,Su13.BD.MLB.SD.C.MAG3-A,Su13.BD.MLB.SD.C.MAG3-C,Su13.BD.MLB.SD.C.MAG3-G,Su13.BD.MLB.SD.C.MAG3-T,Sp13.BD.MM15.DD.A.MAG3-A,Sp13.BD.MM15.DD.A.MAG3-C,Sp13.BD.MM15.DD.A.MAG3-G,Sp13.BD.MM15.DD.A.MAG3-T,Su13.BD.MM15.SN.C.MAG3-A,Su13.BD.MM15.SN.C.MAG3-C,Su13.BD.MM15.SN.C.MAG3-G,Su13.BD.MM15.SN.C.MAG3-T,Su13.BD.MM110.DCMD.MAG3-A,Su13.BD.MM110.DCMD.MAG3-C,Su13.BD.MM110.DCMD.MAG3-G,Su13.BD.MM110.DCMD.MAG3-T,Su13.BD.MM15.SD.MAG3-A,Su13.BD.MM15.SD.MAG3-C,Su13.BD.MM15.SD.MAG3-G,Su13.BD.MM15.SD.MAG3-T,Sp13.BD.MM15.SD.MAG3-A,Sp13.BD.MM15.SD.MAG3-C,Sp13.BD.MM15.SD.MAG3-G,Sp13.BD.MM15.SD.MAG3-T,Fa13.BD.MM15.DN.MAG3-A,Fa13.BD.MM15.DN.MAG3-C,Fa13.BD.MM15.DN.MAG3-G,Fa13.BD.MM15.DN.MAG3-T,Sp13.BD.MLB.SN.MAG3-A,Sp13.BD.MLB.SN.MAG3-C,Sp13.BD.MLB.SN.MAG3-G,Sp13.BD.MLB.SN.MAG3-T,Fa13.BD.MM110.SD.MAG3-A,Fa13.BD.MM110.SD.MAG3-C,Fa13.BD.MM110.SD.MAG3-G,Fa13.BD.MM110.SD.MAG3-T,Fa13.BD.MM15.SD.MAG3-A,Fa13.BD.MM15.SD.MAG3-C,Fa13.BD.MM15.SD.MAG3-G,Fa13.BD.MM15.SD.MAG3-T
contig_18488_1,171,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,29,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0
contig_18488_1,177,0,0,2,0,1,0,2,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,27,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,5,0,2,0,12,0,0,0
contig_18488_1,184,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,1,0,0,0,5,0,0,0,12,0,0,0
contig_18488_1,185,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,24,0,0,2,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,2,3,0,0,2,10,0
contig_18488_1,189,0,2,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,1,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,3,0,2,0,12,0,0
contig_18488_1,192,0,2,0,0,0,2,0,1,0,0,0,1,0,1,0,2,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,27,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,0,1,0,0,0,5,0,0,0,12
contig_18488_1,195,0,0,2,0,1,0,14,0,1,0,0,0,0,0,3,0,3,0,8,0,0,0,1,0,0,0,0,0,1,0,2,0,2,0,8,0,7,0,10,0,0,0,2,0,0,0,29,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,16,0,0,0,3,0,3,0,7,0,0,0,4,0,5,0,8,0,12,0,10,0
contig_18488_1,201,0,2,0,6,0,2,0,13,0,0,0,1,0,1,0,4,0,0,0,13,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,12,0,0,0,17,0,0,0,2,0,0,0,32,0,0,0,3,0,0,0,7,0,0,0,2,0,0,0,14,0,0,0,8,0,0,0,18,0,1,0,6,0,0,0,10,0,0,0,6,0,0,0,13,0,0,0,22
contig_18488_1,202,2,0,6,0,2,0,13,0,0,0,1,0,1,0,4,0,0,0,13,0,0,0,2,0,0,0,2,0,0,0,5,0,0,0,12,0,0,0,17,0,0,0,2,0,0,0,30,0,2,0,1,0,0,0,7,0,0,0,2,0,0,0,14,0,0,0,8,0,0,0,18,0,1,0,6,0,0,0,10,0,0,0,6,0,0,0,13,0,0,0,22,0
contig_18488_1,210,0,2,6,0,0,2,13,0,0,0,1,0,0,1,2,0,0,1,5,0,0,2,2,0,0,0,2,0,0,0,5,0,0,2,10,0,0,0,17,0,0,0,2,0,0,0,31,0,0,3,0,0,0,0,7,0,0,0,2,0,0,0,14,0,0,0,8,0,0,0,18,0,0,1,6,0,0,2,8,0,0,1,7,0,0,0,13,0,0,0,23,0
contig_18488_1,229,2,0,8,0,1,0,0,0,0,0,142,0,1,0,16,0,0,1,24,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,2,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0
contig_18488_1,231,0,0,2,8,0,0,1,0,0,0,0,138,0,0,1,16,0,0,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1
contig_18488_1,237,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,8,0,2,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0
contig_18488_1,240,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0
contig_18488_1,243,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0
contig_18488_1,246,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1
contig_18488_1,273,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,0,1,1,4,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,3
contig_18488_1,276,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,10,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,3,0,0,1,7,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,4,1,0,0,0,0,0,0,3,0
contig_18488_1,282,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,2,0,0,7,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,0
contig_18488_1,285,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,0,1,0,7,0,0,0,4,0,1,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,3
contig_18488_1,286,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,2,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,3
contig_18488_1,287,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,0,0,8,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,0,0,0,3,0,0
contig_18488_1,288,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,2,0,0,7,1,0,0,4,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,4,0,1,0,0,0,0,0,3,0,0
contig_18488_1,294,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,2,1,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0
contig_18488_1,297,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,2,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0
contig_18488_1,300,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,3
contig_18488_1,303,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,3,0
contig_18488_1,309,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,3
contig_18488_1,315,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,1,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,3,0,0
contig_18488_1,321,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,9,0,0,0,0,0,3,0,0
contig_18488_1,333,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,9,0,0,0,0,0,3,0,0
contig_18488_1,340,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,12,0,0,0,0,0,3,0,0
contig_18488_1,347,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4,6,0,0,0,0,0,0,3,0,0,0
contig_18488_1,348,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,1,0,0,0,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,2,0,2,0,0,0,0,0,0,0,3
contig_18488_1,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,7,0,0,3,0,0,0,0,0,0,0,3
contig_18488_1,351,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,7,3,0,0,0,0,0,0,0,3,0
contig_18488_1,353,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,7,0,0,0,0,0,3,0,0
contig_18488_1,354,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,5,1,2,0,0,0,0,0,0,3,0
contig_18488_1,360,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0
contig_18488_1,363,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,1,0,5,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,3
contig_18488_1,381,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0,8,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,2,0,0
