,Position,Su13.BD.MM110.SD.MAG8-A,Su13.BD.MM110.SD.MAG8-C,Su13.BD.MM110.SD.MAG8-G,Su13.BD.MM110.SD.MAG8-T,Sp13.BD.MM15.SD.MAG8-A,Sp13.BD.MM15.SD.MAG8-C,Sp13.BD.MM15.SD.MAG8-G,Sp13.BD.MM15.SD.MAG8-T,Fa13.BD.MLB.DN.MAG8-A,Fa13.BD.MLB.DN.MAG8-C,Fa13.BD.MLB.DN.MAG8-G,Fa13.BD.MLB.DN.MAG8-T,Fa13.BD.MM110.SN.MAG8-A,Fa13.BD.MM110.SN.MAG8-C,Fa13.BD.MM110.SN.MAG8-G,Fa13.BD.MM110.SN.MAG8-T,Sp13.BD.MM110.SN.MAG8-A,Sp13.BD.MM110.SN.MAG8-C,Sp13.BD.MM110.SN.MAG8-G,Sp13.BD.MM110.SN.MAG8-T,Sp13.BD.MM110.DD.MAG8-A,Sp13.BD.MM110.DD.MAG8-C,Sp13.BD.MM110.DD.MAG8-G,Sp13.BD.MM110.DD.MAG8-T,Sp13.BD.MM110.SD.MAG8-A,Sp13.BD.MM110.SD.MAG8-C,Sp13.BD.MM110.SD.MAG8-G,Sp13.BD.MM110.SD.MAG8-T,Su13.BD.MLB.DD.MAG8-A,Su13.BD.MLB.DD.MAG8-C,Su13.BD.MLB.DD.MAG8-G,Su13.BD.MLB.DD.MAG8-T,Su13.BD.MM15.SN.C.MAG8-A,Su13.BD.MM15.SN.C.MAG8-C,Su13.BD.MM15.SN.C.MAG8-G,Su13.BD.MM15.SN.C.MAG8-T,Fa13.BD.MM15.SN.MAG8-A,Fa13.BD.MM15.SN.MAG8-C,Fa13.BD.MM15.SN.MAG8-G,Fa13.BD.MM15.SN.MAG8-T,Fa13.BD.MLB.SN.MAG8-A,Fa13.BD.MLB.SN.MAG8-C,Fa13.BD.MLB.SN.MAG8-G,Fa13.BD.MLB.SN.MAG8-T,Su13.BD.MM110.DCMD.MAG8-A,Su13.BD.MM110.DCMD.MAG8-C,Su13.BD.MM110.DCMD.MAG8-G,Su13.BD.MM110.DCMD.MAG8-T,Fa13.BD.MM110.DN.MAG8-A,Fa13.BD.MM110.DN.MAG8-C,Fa13.BD.MM110.DN.MAG8-G,Fa13.BD.MM110.DN.MAG8-T,Su13.BD.MM15.SD.MAG8-A,Su13.BD.MM15.SD.MAG8-C,Su13.BD.MM15.SD.MAG8-G,Su13.BD.MM15.SD.MAG8-T,Su13.BD.MM15.DN.MAG8-A,Su13.BD.MM15.DN.MAG8-C,Su13.BD.MM15.DN.MAG8-G,Su13.BD.MM15.DN.MAG8-T,Sp13.BD.MLB.SN.MAG8-A,Sp13.BD.MLB.SN.MAG8-C,Sp13.BD.MLB.SN.MAG8-G,Sp13.BD.MLB.SN.MAG8-T,Fa13.BD.MM15.DN.MAG8-A,Fa13.BD.MM15.DN.MAG8-C,Fa13.BD.MM15.DN.MAG8-G,Fa13.BD.MM15.DN.MAG8-T,Sp13.BD.MM15.SN.MAG8-A,Sp13.BD.MM15.SN.MAG8-C,Sp13.BD.MM15.SN.MAG8-G,Sp13.BD.MM15.SN.MAG8-T,Fa13.BD.MM15.SD.MAG8-A,Fa13.BD.MM15.SD.MAG8-C,Fa13.BD.MM15.SD.MAG8-G,Fa13.BD.MM15.SD.MAG8-T,Sp13.BD.MM15.DD.A.MAG8-A,Sp13.BD.MM15.DD.A.MAG8-C,Sp13.BD.MM15.DD.A.MAG8-G,Sp13.BD.MM15.DD.A.MAG8-T,Su13.BD.MM110.DN.MAG8-A,Su13.BD.MM110.DN.MAG8-C,Su13.BD.MM110.DN.MAG8-G,Su13.BD.MM110.DN.MAG8-T,Fa13.BD.MM110.SD.MAG8-A,Fa13.BD.MM110.SD.MAG8-C,Fa13.BD.MM110.SD.MAG8-G,Fa13.BD.MM110.SD.MAG8-T,Su13.BD.MLB.SD.C.MAG8-A,Su13.BD.MLB.SD.C.MAG8-C,Su13.BD.MLB.SD.C.MAG8-G,Su13.BD.MLB.SD.C.MAG8-T,Su13.BD.MM110.SN.C.MAG8-A,Su13.BD.MM110.SN.C.MAG8-C,Su13.BD.MM110.SN.C.MAG8-G,Su13.BD.MM110.SN.C.MAG8-T
contig_20881_1,10,0,132,0,1,0,114,0,0,0,53,0,2,0,151,0,0,0,190,0,0,0,256,0,0,0,296,0,0,0,43,0,1,0,206,0,1,0,160,0,0,0,120,0,4,0,20,0,0,0,113,0,0,0,119,0,2,0,214,0,0,0,49,0,5,0,132,0,3,0,102,0,0,0,156,0,1,0,67,0,2,0,1,0,0,0,172,0,1,0,53,0,11,0,136,0,0
contig_20881_1,11,0,0,0,134,0,0,0,114,0,0,0,55,0,0,0,154,0,0,0,191,0,0,0,261,0,1,0,299,0,0,0,44,0,0,0,212,0,0,0,164,0,0,0,127,0,0,0,20,0,0,0,113,0,0,0,121,1,0,0,215,0,0,0,54,0,0,0,140,0,0,0,103,0,0,0,159,0,0,0,70,0,0,0,1,0,0,1,175,0,0,0,65,0,0,0,137
contig_20881_1,12,0,136,1,0,0,104,2,9,0,53,2,0,0,158,0,2,1,191,0,0,0,259,5,1,0,302,1,1,0,42,2,0,0,212,1,1,0,164,0,0,0,123,4,0,0,19,0,1,0,118,0,0,0,126,2,0,1,221,2,0,0,47,7,1,0,148,3,0,0,101,0,3,0,161,1,0,0,62,3,5,0,1,0,0,0,176,1,0,0,53,12,0,0,138,0,1
contig_20881_1,13,138,0,0,0,115,0,0,0,58,0,0,0,161,0,0,1,195,0,0,0,269,0,0,0,308,0,0,0,44,0,0,0,218,0,0,0,166,0,0,0,130,0,0,0,20,0,0,0,118,0,0,0,129,0,0,0,227,0,0,0,57,0,0,0,152,0,0,0,106,0,0,0,163,0,0,0,72,0,0,0,2,0,0,0,179,0,0,0,66,0,0,0,140,0,0,0
contig_20881_1,14,0,0,0,138,0,0,0,116,0,0,0,58,0,0,0,162,0,0,0,196,0,0,0,270,0,0,0,311,0,0,0,45,0,0,0,220,0,0,0,166,0,0,0,130,0,0,0,20,0,0,0,118,0,0,0,129,0,0,0,227,0,0,0,58,0,0,0,152,0,0,1,105,0,0,0,163,0,0,0,72,0,0,0,2,0,0,0,179,0,0,0,66,0,0,0,140
contig_20881_1,15,0,0,138,0,0,0,116,0,0,0,58,0,0,0,164,0,0,0,198,0,0,0,270,1,0,0,311,1,0,0,46,0,0,0,225,0,2,0,164,0,0,0,131,0,1,0,19,0,0,0,119,0,0,0,129,0,0,0,228,0,0,0,59,0,0,0,153,0,0,0,106,0,0,0,164,0,0,0,73,0,0,0,2,0,0,0,179,0,0,0,67,0,0,0,144,0
contig_20881_1,16,139,0,0,0,117,0,0,0,61,0,0,0,169,0,0,0,202,0,0,0,273,0,0,0,314,0,0,0,46,0,0,0,226,0,0,0,169,0,0,0,134,0,0,0,20,0,0,0,122,0,0,0,130,0,0,0,237,0,0,0,61,0,0,0,156,0,0,0,106,1,0,0,166,0,0,0,73,0,0,0,2,0,0,0,178,0,2,0,67,0,0,0,145,0,0,0
contig_20881_1,17,144,0,0,0,119,0,0,0,64,0,0,0,171,0,0,0,201,0,1,0,278,0,0,0,317,0,0,0,46,0,0,0,229,0,0,0,171,0,0,0,136,0,0,0,20,0,0,0,124,0,0,0,131,0,0,0,240,0,0,0,62,0,0,0,160,0,0,0,108,0,0,0,166,0,0,0,74,0,0,0,2,0,0,0,181,0,0,0,67,0,0,0,146,0,0,0
contig_20881_1,18,143,2,0,0,120,0,0,0,62,1,2,0,171,0,2,0,207,0,0,0,279,0,1,0,321,0,0,0,46,0,0,0,231,0,1,0,171,1,0,0,135,0,1,0,20,0,0,0,125,0,0,0,131,0,1,0,240,0,0,0,62,0,2,0,161,0,0,0,109,0,0,0,166,0,0,0,73,0,2,0,3,0,0,0,187,0,0,0,65,0,3,0,147,0,0,0
contig_20881_1,19,0,144,0,1,0,56,0,65,0,15,0,50,0,176,0,0,0,130,0,77,0,147,0,136,0,171,2,153,0,8,0,38,0,203,0,29,0,155,0,17,0,19,0,118,0,15,0,5,0,80,0,45,0,124,0,8,0,184,0,58,0,38,0,26,0,142,0,20,0,50,0,59,0,163,0,4,0,29,0,48,0,3,0,0,0,187,0,2,0,10,0,58,0,151,0,0
contig_20881_1,20,0,0,0,146,0,0,1,122,0,0,0,67,0,0,2,175,0,0,1,209,0,0,0,286,0,0,1,327,0,0,0,46,0,0,0,234,0,0,3,169,0,2,0,137,0,0,0,20,0,0,0,125,0,0,0,132,0,0,1,242,0,0,0,66,0,0,2,161,0,0,0,110,0,0,1,166,0,0,0,77,0,0,0,3,0,0,0,189,0,0,0,68,0,0,0,152
contig_20881_1,21,0,0,141,8,0,2,123,0,2,0,66,2,0,0,155,22,0,0,211,0,0,5,278,4,1,2,330,0,0,0,47,0,1,0,229,6,0,0,158,14,6,0,133,1,0,0,20,0,0,0,128,0,1,0,132,4,0,2,242,3,1,7,59,0,0,0,153,11,0,0,111,0,0,0,151,19,0,1,74,1,0,0,3,0,0,0,165,26,4,0,66,0,0,0,145,7
contig_20881_1,22,0,0,152,0,0,0,126,0,0,0,72,0,0,0,179,0,0,0,212,0,0,0,287,0,0,0,335,0,0,0,48,0,0,0,237,0,0,0,173,0,0,0,142,0,0,0,22,0,0,0,130,0,0,0,141,0,0,0,252,0,0,0,68,0,0,0,166,0,0,0,110,0,0,0,174,0,0,0,78,0,0,0,3,0,0,0,193,1,0,0,70,0,0,0,154,0
contig_20881_1,23,0,0,154,0,0,0,127,0,0,0,74,0,0,0,179,0,0,0,215,0,0,0,293,0,1,0,335,0,0,0,49,0,0,0,240,0,0,0,175,0,0,0,142,0,0,0,22,0,0,0,134,1,0,0,141,0,0,0,256,0,0,0,68,0,0,0,172,0,0,0,112,0,0,0,176,0,0,0,80,0,0,0,3,0,0,0,198,0,0,0,70,0,0,0,155,0
contig_20881_1,24,33,1,95,25,3,11,34,81,0,4,0,71,27,2,133,21,1,31,101,83,0,43,95,158,0,51,115,172,0,1,1,47,32,7,127,75,13,2,124,37,0,8,3,132,0,1,15,6,0,16,56,63,19,2,72,48,9,11,137,102,1,8,0,60,23,5,92,52,1,5,27,79,23,1,131,22,1,8,16,56,0,0,3,0,22,1,165,11,0,14,0,56,33,0,92,30
contig_20881_1,25,2,152,0,0,0,130,0,0,0,75,0,0,0,183,0,0,0,218,0,0,0,296,0,0,0,347,0,0,0,49,0,0,0,243,0,0,0,176,0,0,0,145,0,0,0,22,0,0,1,133,1,0,0,141,0,0,0,259,0,0,0,69,0,0,0,172,0,0,0,113,0,0,0,177,0,0,0,83,0,0,0,3,0,0,0,199,0,0,0,72,0,0,0,156,0,0
contig_20881_1,26,155,0,0,0,133,0,0,0,75,0,0,0,183,0,1,0,218,0,1,0,301,0,0,0,353,0,0,0,50,0,0,0,244,0,0,0,176,0,0,0,145,0,0,0,22,0,0,0,134,0,0,0,145,0,0,0,259,0,0,0,70,0,0,0,175,0,0,0,113,0,0,0,178,0,0,0,84,0,0,0,3,0,0,0,201,0,0,0,73,0,0,0,157,0,0,0
contig_20881_1,27,1,0,158,0,1,0,132,0,3,0,77,0,3,0,183,0,0,0,223,0,1,0,303,0,0,0,356,0,2,0,48,0,4,0,242,0,0,0,179,0,8,0,139,0,2,0,20,0,0,0,140,0,4,0,141,0,1,0,265,0,8,0,63,0,3,0,180,0,2,0,112,0,1,0,182,0,3,0,82,0,0,0,3,0,1,0,205,0,15,0,58,0,0,0,157,0
contig_20881_1,28,160,0,0,0,133,0,0,0,82,0,0,0,190,0,0,0,228,0,0,0,304,0,0,0,358,1,0,0,50,0,0,0,250,0,0,0,176,0,2,1,148,1,0,0,22,0,0,0,140,0,0,0,149,0,0,0,266,0,0,0,72,0,0,0,184,0,0,0,115,0,0,0,185,0,0,0,87,0,0,0,3,0,0,0,208,0,0,0,76,0,0,0,158,0,0,0
contig_20881_1,29,0,0,0,160,0,0,0,135,0,0,0,82,0,0,0,190,0,0,0,228,0,0,0,307,0,0,0,359,0,0,0,50,0,0,0,252,1,0,0,179,0,0,0,150,0,0,0,23,0,0,0,141,0,0,0,149,0,0,0,268,0,0,0,73,0,0,0,186,0,0,0,116,0,0,1,186,0,0,0,87,0,0,0,3,0,0,0,209,0,0,0,76,0,0,0,161
contig_20881_1,30,0,0,161,0,0,0,137,0,0,0,84,0,0,0,193,0,0,0,231,0,0,0,314,0,0,0,361,1,0,0,50,0,0,0,254,0,0,0,191,0,1,0,151,0,0,0,23,0,0,0,141,0,0,0,150,0,0,0,266,0,0,0,74,0,0,0,190,0,0,0,116,0,0,0,194,0,0,0,88,0,0,0,3,0,0,0,216,0,0,0,78,0,0,0,163,0
contig_20881_1,31,0,0,162,0,0,0,137,0,0,0,84,0,0,1,193,0,0,0,230,0,0,0,314,0,0,0,362,1,0,0,50,0,0,0,252,0,0,0,191,0,0,0,156,0,0,0,22,0,1,0,140,0,0,0,150,0,0,0,268,0,0,0,75,0,0,0,191,0,0,0,116,0,0,1,196,0,0,0,88,0,0,0,4,0,0,0,221,0,0,0,79,0,0,0,165,0
contig_20881_1,32,0,0,1,161,0,1,0,136,0,1,0,83,0,0,1,193,0,1,0,230,0,1,1,313,0,0,0,364,0,0,0,50,0,1,1,252,0,0,0,191,0,0,0,157,0,0,0,22,0,0,0,142,0,0,0,150,0,2,0,266,0,8,0,69,0,0,1,188,0,1,0,116,0,0,0,196,0,1,0,87,0,0,0,4,0,1,1,219,0,0,0,79,0,0,0,166
contig_20881_1,33,0,158,0,0,0,121,0,15,0,82,2,0,0,191,0,2,0,195,0,35,0,272,1,43,0,311,0,56,1,48,0,1,0,251,0,6,0,188,0,2,0,157,0,0,2,19,0,1,0,127,0,16,0,150,0,0,0,254,1,12,0,81,0,1,0,188,0,2,0,114,0,6,0,196,0,0,0,85,0,5,0,4,0,0,0,220,0,0,0,80,0,0,1,166,0,0
contig_20881_1,34,158,1,0,0,137,1,0,0,84,2,1,0,188,3,0,1,230,0,0,0,316,0,2,0,366,2,0,0,50,0,0,0,259,0,0,0,187,4,0,0,161,0,0,0,22,0,0,0,143,0,0,0,151,1,0,0,267,5,0,0,82,0,0,0,185,6,0,0,121,0,0,0,196,2,1,0,91,0,0,0,4,0,0,0,216,5,0,0,81,0,0,0,166,1,0,0
contig_20881_1,35,0,164,0,0,0,139,0,0,0,90,0,0,0,200,0,0,0,229,0,1,0,322,0,0,2,369,0,0,0,51,0,0,0,261,0,0,0,195,0,0,0,165,0,0,0,22,0,0,0,149,1,0,0,157,0,0,0,279,0,0,0,82,0,0,0,198,0,1,0,120,0,0,1,207,0,0,0,92,0,0,0,4,0,0,0,229,0,0,0,84,0,0,0,165,0,0
contig_20881_1,36,0,163,1,0,1,138,2,0,0,85,5,0,0,194,2,0,0,221,8,0,0,322,1,0,0,366,9,0,0,51,0,0,0,254,8,2,0,192,2,0,0,160,6,2,0,21,0,0,0,147,3,0,0,144,2,4,0,270,9,0,0,74,3,6,0,191,5,0,0,119,1,0,0,198,8,0,0,90,3,0,0,4,0,0,0,225,1,0,0,76,8,1,0,164,2,0
contig_20881_1,37,166,0,0,0,143,0,0,0,91,0,0,0,194,0,0,0,228,0,0,0,326,0,0,0,378,0,0,0,51,0,0,0,265,0,0,0,196,0,0,0,170,0,0,0,20,0,0,0,151,0,0,0,149,0,0,0,279,0,2,0,86,0,0,0,201,0,0,0,122,0,0,0,205,0,0,0,94,0,0,0,4,0,0,0,224,0,0,0,85,0,0,0,166,0,0,0
contig_20881_1,38,0,0,0,166,0,1,0,143,0,0,0,91,0,0,0,195,0,0,0,227,0,0,0,327,0,0,0,379,0,0,0,51,0,0,0,268,0,0,0,196,0,0,0,170,0,0,0,21,0,0,0,152,0,0,0,149,0,0,0,281,0,0,0,86,1,0,0,200,0,0,0,123,0,0,0,205,0,0,0,94,0,0,0,4,0,0,0,224,0,0,0,87,0,0,0,166
contig_20881_1,39,0,166,0,0,0,145,0,0,0,96,0,0,0,205,0,0,1,230,0,0,0,327,0,0,0,379,0,0,0,52,0,0,0,266,0,0,0,199,0,0,0,172,0,0,0,21,0,0,0,154,0,0,0,152,0,0,0,285,0,0,0,87,0,1,0,201,1,0,0,124,0,0,0,215,0,0,0,94,0,0,0,4,0,0,1,229,0,0,0,87,0,0,0,166,0,0
contig_20881_1,40,169,0,0,0,148,0,0,0,96,0,0,0,204,0,0,0,230,0,0,0,328,0,0,0,381,0,0,0,55,0,0,0,267,0,0,0,199,0,0,0,174,0,0,0,21,0,0,0,155,0,0,0,152,0,0,0,286,0,0,1,89,0,0,0,199,0,0,1,125,0,0,0,213,0,0,0,95,0,0,0,4,0,0,0,228,0,0,0,88,0,0,0,165,0,0,0
contig_20881_1,41,162,4,0,0,149,2,0,0,96,0,0,0,203,3,1,0,230,0,0,0,326,0,0,0,386,0,0,0,55,0,0,0,266,0,0,0,198,2,0,0,176,1,0,0,21,0,0,0,154,1,0,0,150,1,0,0,283,1,1,0,89,0,0,0,198,2,0,0,126,0,0,0,208,1,0,0,97,0,0,0,4,0,0,0,226,1,0,0,88,0,0,0,163,0,0,0
contig_20881_1,42,0,166,0,3,0,131,0,20,0,87,0,9,0,211,0,0,0,195,0,37,0,277,0,51,0,327,0,66,0,49,0,7,0,254,0,13,0,199,0,5,0,168,0,10,0,18,0,3,0,139,0,18,0,148,0,6,0,272,0,16,0,65,0,25,0,198,0,5,0,109,0,18,0,213,0,1,0,87,0,11,0,4,0,0,0,231,0,1,0,79,0,10,0,158,0,5
contig_20881_1,43,0,168,0,1,0,151,0,0,0,98,0,0,0,211,0,0,0,236,0,0,0,332,0,0,0,395,0,0,0,56,0,0,0,270,0,0,0,201,0,0,0,179,0,1,0,22,0,0,0,157,0,0,0,154,0,0,0,288,0,0,0,93,0,0,0,204,0,0,0,129,0,0,0,214,0,0,0,98,0,0,0,4,0,0,0,233,0,0,0,90,0,0,0,159,1,0
contig_20881_1,44,170,0,0,0,154,0,0,0,98,0,0,0,210,0,0,0,239,0,0,0,334,0,0,0,398,0,0,0,57,0,0,0,272,0,0,0,201,0,1,1,180,0,0,0,22,0,0,0,155,0,1,0,152,0,0,0,288,0,0,0,93,0,0,0,201,0,2,0,129,0,0,0,213,0,0,0,99,0,0,0,4,0,0,0,227,0,4,0,91,0,0,0,159,0,0,0
contig_20881_1,45,0,0,171,0,8,0,148,0,2,0,101,0,0,0,215,0,1,0,241,0,2,0,333,0,1,1,399,0,0,0,57,0,6,0,267,0,0,1,213,0,2,0,177,1,0,0,22,0,0,0,164,0,2,0,156,0,0,0,307,0,0,0,94,0,0,0,209,0,5,0,124,0,1,0,221,0,3,0,97,0,0,0,4,0,0,0,241,0,3,0,90,0,0,1,159,0
contig_20881_1,46,0,171,0,0,0,157,0,0,0,107,0,0,0,217,0,0,0,246,0,0,0,337,0,1,1,405,0,0,0,57,0,0,0,276,0,0,0,219,0,0,0,180,0,0,0,22,0,0,0,162,0,0,0,163,0,0,0,308,0,0,0,94,1,0,0,218,0,1,0,130,0,0,0,227,0,0,0,102,0,0,0,4,0,0,0,242,0,0,0,94,0,0,0,160,0,0
contig_20881_1,47,0,170,0,0,0,158,0,0,0,107,0,0,0,217,0,0,0,249,0,0,0,338,0,0,1,409,0,0,0,57,0,0,0,278,0,0,0,220,0,0,0,179,0,0,0,22,0,0,0,162,0,0,0,164,0,0,0,313,0,0,0,95,0,0,0,220,0,0,0,130,0,0,0,227,0,0,0,102,0,0,0,5,0,0,0,242,0,1,0,95,0,0,0,163,0,0
